id	old_name	new_name	element	type	charge
1	C	C1	C	C.2	-0.300000
2	H	H1	H	H	0.150000
3	H	H2	H	H	0.150000
4	C	C2	C	C.2	-0.173300
5	C	C3	C	C.2	1.050000
6	O	O1	O	O.co2	-0.900000
7	O	O2	O	O.co2	-0.900000
8	O	O3	O	O.3	-0.356700
9	C	C4	C	C.3	0.338200
10	H	H3	H	H	0.080000
11	C	C5	C	C.2	-0.288200
12	H	H4	H	H	0.150000
13	C	C6	C	C.2	-0.250000
14	C	C7	C	C.2	-0.150000
15	H	H5	H	H	0.150000
16	C	C8	C	C.2	-0.288200
17	H	H6	H	H	0.150000
18	C	C9	C	C.3	0.338200
19	H	H7	H	H	0.080000
20	O	O4	O	O.3	-0.680000
21	H	H8	H	H	0.400000
22	C	C10	C	C.2	1.050000
23	O	O5	O	O.co2	-0.900000
24	O	O6	O	O.co2	-0.900000
