# frame	prod_ps	rmsd_A  (backbone N,CA,C,O,H vs frame 0, imaged+aligned)
0	1	0.0000
1	2	0.4824
2	3	0.5043
3	4	0.5563
4	5	0.5603
5	6	0.5870
6	7	0.6150
7	8	0.6372
8	9	0.6457
9	10	0.6491
10	11	0.6810
11	12	0.6928
12	13	0.6879
13	14	0.7259
14	15	0.7165
15	16	0.7397
16	17	0.7060
17	18	0.7450
18	19	0.7315
19	20	0.6796
20	21	0.7244
21	22	0.7585
22	23	0.7483
23	24	0.7818
24	25	0.7877
25	26	0.7758
26	27	0.7418
27	28	0.7873
28	29	0.7862
29	30	0.7576
30	31	0.7977
31	32	0.7790
32	33	0.7909
33	34	0.8121
34	35	0.8099
35	36	0.7664
36	37	0.7867
37	38	0.7747
38	39	0.7749
39	40	0.7898
40	41	0.7797
41	42	0.7477
42	43	0.7305
43	44	0.7871
44	45	0.7880
45	46	0.8095
46	47	0.8144
47	48	0.8056
48	49	0.7705
49	50	0.8059
50	51	0.8173
51	52	0.8092
52	53	0.8211
53	54	0.8388
54	55	0.7993
55	56	0.8118
56	57	0.8152
57	58	0.8266
58	59	0.7975
59	60	0.8390
60	61	0.8114
61	62	0.8109
62	63	0.7794
63	64	0.7774
64	65	0.8288
65	66	0.8111
66	67	0.8072
67	68	0.8026
68	69	0.7855
69	70	0.8130
70	71	0.8023
71	72	0.7587
72	73	0.8122
73	74	0.8176
74	75	0.8053
75	76	0.8521
76	77	0.8363
77	78	0.8323
78	79	0.8995
79	80	0.8556
80	81	0.8520
81	82	0.8605
82	83	0.8821
83	84	0.9096
84	85	0.9009
85	86	0.8699
86	87	0.8665
87	88	0.9142
88	89	0.9135
89	90	0.9216
90	91	0.9409
91	92	0.9539
92	93	0.9418
93	94	0.9757
94	95	1.0043
95	96	0.9792
96	97	0.9820
97	98	0.9733
98	99	0.9563
99	100	1.0000
100	101	0.9779
101	102	0.9499
102	103	1.0035
103	104	0.9700
104	105	0.9865
105	106	1.0013
