win	break_C4O3	form_C6C1	false_C1C9	false_C1C10
01	1.464	3.251	3.992	3.914
02	1.475	3.180	3.979	3.829
03	1.487	3.116	3.951	3.779
04	1.496	3.042	3.925	3.711
05	1.505	2.999	3.913	3.683
06	1.524	2.925	3.886	3.603
07	1.542	2.852	3.876	3.474
08	1.553	2.794	3.859	3.438
09	1.577	2.735	3.845	3.396
10	1.602	2.674	3.832	3.351
11	1.653	2.599	3.824	3.278
12	2.306	1.891	3.777	2.725
13	2.349	1.801	3.743	2.678
14	2.393	1.742	3.722	2.644
15	2.423	1.706	3.712	2.623
16	2.463	1.671	3.703	2.601
17	2.488	1.644	3.697	2.587
18	2.523	1.621	3.688	2.576
19	2.558	1.597	3.690	2.561
20	2.583	1.580	3.685	2.550
