# barrier ensemble, harvested by step19e_harvest_barriers.py
# barrier: kcal/mol, from the '<= CI' row of the path summary
# barrier_vac: kcal/mol, in vacuo at the same geometries
# energies: Eh. stab_*: kcal/mol, QM/MM minus in vacuo
# group: full_NAC frames are those reported in the write-up
frame	group	neb_converged	ci_image	D01	barrier	barrier_vac	E_ci_Eh	E_qmmm_R	E_qmmm_P	E_qm_R	E_qm_P	E_vac_R	E_vac_TS	E_vac_P	stab_R	stab_TS_total
02450	full_NAC	yes	5	0.969300	19.560000	18.249849	-1076.496110	-1076.527283	-1076.531863	-836.941227	-836.961184	-836.146953	-836.117870	-836.174385	-498.414077	-150839.622866
04085	full_NAC	yes	5	1.884700	23.180000	21.811173	-1075.960110	-1075.997046	-1075.997319	-836.901332	-836.916069	-836.146578	-836.111820	-836.168689	-473.615109	-150507.074389
09025	full_NAC	yes	5	0.827700	14.220000	16.231996	-1075.653260	-1075.675925	-1075.697986	-836.899414	-836.922532	-836.141452	-836.115584	-836.175368	-475.628437	-150312.160774
09900	full_NAC	yes	6	0.759000	9.810000	16.998477	-1076.434200	-1076.449828	-1076.482542	-836.885844	-836.914242	-836.142125	-836.115036	-836.176306	-466.690662	-150802.551929
10775	full_NAC	yes	6	0.882200	10.090000	16.670953	-1076.301290	-1076.317366	-1076.348810	-836.963134	-836.990312	-836.141621	-836.115054	-836.173434	-515.507732	-150719.138773
11630	full_NAC	yes	4	1.608500	12.930000	16.789321	-1076.037740	-1076.058351	-1076.081158	-836.926122	-836.954176	-836.144677	-836.117921	-836.177099	-490.364217	-150551.959172
12485	full_NAC	yes	4	1.880300	13.080000	17.835207	-1076.586310	-1076.607152	-1076.630404	-836.963081	-836.979449	-836.147263	-836.118840	-836.171417	-511.933707	-150895.615316
14155	full_NAC	yes	6	0.813900	11.590000	16.401094	-1076.105160	-1076.123628	-1076.149697	-836.924762	-836.947784	-836.141641	-836.115504	-836.173938	-491.415840	-150595.782755
17505	full_NAC	yes	5	0.851400	17.520000	19.375018	-1075.983670	-1076.011592	-1076.029437	-836.967747	-836.999112	-836.145617	-836.114741	-836.177028	-515.893918	-150520.025232
19185	full_NAC	yes	6	1.062800	4.480000	16.015327	-1075.514810	-1075.521953	-1075.559444	-836.953263	-836.979454	-836.138801	-836.113279	-836.174619	-511.082776	-150226.729049
05680	near_NAC	yes	7	0.799000	15.120000	26.155837	-1076.269090	-1076.293185	-1076.309958	-836.929151	-836.943540	-836.147731	-836.106049	-836.166118	-490.348592	-150704.583590
07310	near_NAC	yes	6	0.787000	11.630000	19.453877	-1075.147800	-1075.166332	-1075.197480	-836.915649	-836.935233	-836.146503	-836.115502	-836.178490	-482.646008	-149995.031772
15825	near_NAC	yes	5	1.598800	25.260000	22.645428	-1076.153800	-1076.194049	-1076.187371	-836.887872	-836.896002	-836.152134	-836.116047	-836.173480	-461.682262	-150625.964449
08170	other	yes	0	1.229200	0.000000		-1075.549740	-1075.549743	-1075.581607	-836.958473	-836.984093	-836.143615		-836.175361	-511.331321	
