# from /home/18660916/system_development/05_qmmm/19_ensemble/frame_09900/neb.out
# the barrier is the dE(kcal/mol) of the row marked '<= CI'

---------------------------------------------------------------
                         PATH SUMMARY              
---------------------------------------------------------------
All forces in Eh/Bohr.

Image Dist.(Ang.)    E(Eh)   dE(kcal/mol)  max(|Fp|)  RMS(Fp)
  0     0.000   -1076.44983      0.00       0.09007   0.00909
  1     0.759   -1076.45239     -1.61       0.09007   0.00909
  2     1.546   -1076.45422     -2.76       0.09006   0.00909
  3     2.743   -1076.45610     -3.93       0.09006   0.00909
  4     3.824   -1076.44892      0.57       0.09005   0.00909
  5     4.084   -1076.43675      8.21       0.09005   0.00909
  6     4.287   -1076.43420      9.81       0.09005   0.00909 <= CI
  7     4.602   -1076.44084      5.64       0.09005   0.00909
  8     5.046   -1076.46622    -10.29       0.09005   0.00909
  9     6.978   -1076.48254    -20.53       0.09004   0.00909

