#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
         1;     15;    108.73;     45.01;           ;    -1073.70180376;               ;               ;               ;             
         2;      7;     68.77;     43.31;           ;    -1073.74472203;    -0.04291827;       120.0317;       574.7590;     0.002282
         3;     12;     90.68;     43.37;           ;    -1074.66137626;    -0.91665424;        48.2895;       269.4162;     0.071712
         4;      9;     77.62;     42.77;           ;    -1074.67113240;    -0.00975613;        55.6192;       253.1159;     0.008247
         5;      8;     74.02;     43.36;           ;    -1074.85276612;    -0.18163372;        43.0215;       382.3698;     0.047752
         6;     13;     91.17;     41.57;           ;    -1075.00159829;    -0.14883218;        55.9007;      1310.0153;     0.111835
         7;     12;     93.23;     41.24;           ;    -1075.19537439;    -0.19377610;        40.5924;       698.0444;     0.139153
         8;     12;     91.13;     43.23;           ;    -1075.20760865;    -0.01223426;        44.3354;       750.7766;     0.040824
         9;     12;     88.66;     41.03;           ;    -1075.33209699;    -0.12448834;        38.6289;      1087.7069;     0.102343
        10;     11;     86.10;     41.66;           ;    -1075.33382736;    -0.00173037;        48.1812;      1473.2343;     0.018772
        11;     11;     87.62;     41.90;           ;    -1075.43010595;    -0.09627859;        22.1870;       169.7808;     0.091995
        12;     11;     91.08;     46.52;           ;    -1075.43972653;    -0.00962058;        28.9324;       605.6747;     0.042674
        13;     11;     87.95;     42.18;           ;    -1075.48302430;    -0.04329777;        20.8125;       329.4050;     0.020948
        14;     11;     87.17;     44.62;           ;    -1075.51868460;    -0.03566030;        28.2814;       360.9266;     0.043473
        15;     10;     84.00;     42.67;           ;    -1075.57232118;    -0.05363658;        18.9568;       271.6200;     0.023347
        16;     11;     94.08;     44.54;           ;    -1075.58962842;    -0.01730724;        26.3671;       386.9844;     0.022857
        17;     11;     88.45;     44.65;           ;    -1075.63533990;    -0.04571148;        17.0262;       130.1790;     0.034785
        18;     11;     90.94;     46.10;           ;    -1075.64495670;    -0.00961680;        22.4946;       294.2279;     0.025271
        19;      7;     70.74;     41.36;           ;    -1075.68221421;    -0.03725751;        16.3015;       143.7299;     0.022719
        20;     11;     86.14;     43.48;           ;    -1075.70102526;    -0.01881106;        24.5400;       268.4655;     0.031497
        21;     11;     93.07;     42.28;           ;    -1075.74634341;    -0.04531815;        17.2724;       239.0407;     0.030261
        22;     11;     81.91;     41.56;           ;    -1075.75749532;    -0.01115191;        23.8860;       300.1090;     0.024228
        23;     11;     83.25;     41.95;           ;    -1075.79677153;    -0.03927621;        14.9548;       115.7422;     0.033014
        24;     11;     67.65;     49.00;           ;    -1075.80375284;    -0.00698132;        19.4168;       191.1244;     0.021311
        25;      9;     58.68;     44.63;           ;    -1075.83295334;    -0.02920049;        13.7709;       101.0556;     0.018325
        26;     11;     61.82;     46.04;           ;    -1075.84639942;    -0.01344608;        19.7622;       280.8018;     0.023624
        27;     11;     60.80;     42.53;           ;    -1075.87492962;    -0.02853020;        13.8388;       126.9832;     0.028484
        28;     10;     57.05;     43.76;           ;    -1075.87828181;    -0.00335220;        17.9091;       228.3500;     0.013799
        29;     11;     60.83;     37.98;           ;    -1075.90123895;    -0.02295713;        12.4322;       105.8057;     0.018447
        30;     10;     51.07;     27.80;           ;    -1075.90958298;    -0.00834403;        16.3169;       172.0516;     0.019701
        31;     10;     42.55;     25.87;           ;    -1075.93065252;    -0.02106954;        12.6050;        95.9283;     0.034307
        32;      9;     34.24;     24.01;           ;    -1075.93334878;    -0.00269626;        16.6773;       124.9727;     0.018008
        33;     11;     36.54;     24.37;           ;    -1075.95245160;    -0.01910282;        12.4925;       125.7535;     0.018068
        34;      7;     32.83;     24.68;           ;    -1075.95308785;    -0.00063625;        14.2318;       161.2273;     0.003969
        35;     10;     37.53;     24.35;           ;    -1075.96906794;    -0.01598008;        10.1967;        80.1503;     0.028727
        36;      9;     37.67;     24.04;           ;    -1075.97241012;    -0.00334218;        13.7103;       133.2679;     0.020867
        37;     11;     37.90;     23.76;           ;    -1075.98675158;    -0.01434146;        10.1459;        80.5359;     0.018296
        38;     10;     37.16;     24.00;           ;    -1075.98938444;    -0.00263287;        14.0257;       160.0246;     0.011929
        39;     10;     35.97;     23.75;           ;    -1076.00268923;    -0.01330479;         9.4945;        56.6607;     0.022884
        40;     10;     35.73;     25.02;           ;    -1076.00668004;    -0.00399081;        13.0445;       145.5936;     0.021349
        41;     10;     36.05;     23.73;           ;    -1076.01870505;    -0.01202501;         9.2442;        70.2110;     0.018083
        42;     10;     34.72;     23.87;           ;    -1076.02313414;    -0.00442909;        13.0736;       163.0437;     0.019704
        43;     10;     34.40;     23.85;           ;    -1076.03515233;    -0.01201820;         9.0937;        66.6545;     0.024609
        44;     10;     34.08;     23.32;           ;    -1076.03797859;    -0.00282625;        12.6672;       148.3871;     0.019186
        45;     10;     34.77;     23.56;           ;    -1076.04887029;    -0.01089170;         8.7245;        64.9675;     0.016532
        46;     10;     35.36;     24.38;           ;    -1076.05282354;    -0.00395325;        11.8561;       133.6251;     0.017544
        47;      9;     33.75;     23.67;           ;    -1076.06357305;    -0.01074951;         8.1390;        69.3467;     0.018334
        48;     10;     34.42;     23.34;           ;    -1076.06772264;    -0.00414959;        10.8682;        77.8031;     0.020503
        49;      9;     33.54;     23.40;           ;    -1076.07781969;    -0.01009705;         7.8213;        58.7834;     0.020521
        50;      9;     33.39;     23.55;           ;    -1076.08090672;    -0.00308702;        11.2736;        95.5327;     0.019341
        51;     10;     33.96;     23.77;           ;    -1076.09005137;    -0.00914466;         7.9436;        60.0067;     0.019024
        52;      7;     29.59;     23.28;           ;    -1076.09142893;    -0.00137756;        10.6599;       111.8411;     0.010812
        53;      9;     32.71;     23.63;           ;    -1076.09904661;    -0.00761767;         7.5162;        53.8495;     0.013409
        54;      9;     32.67;     23.06;           ;    -1076.10206293;    -0.00301632;        10.4960;       121.9908;     0.015232
        55;     11;     35.65;     23.59;           ;    -1076.10992966;    -0.00786673;         7.7598;        45.1369;     0.026542
        56;     10;     34.93;     23.11;           ;    -1076.11165452;    -0.00172486;        10.2906;        93.4304;     0.020078
        57;     10;     34.83;     23.16;           ;    -1076.11890947;    -0.00725496;         9.3368;        60.5443;     0.019507
        58;     10;     34.66;     23.77;           ;    -1076.12632395;    -0.00741448;         7.9682;        94.2794;     0.027372
        59;      9;     34.40;     23.38;           ;    -1076.12699335;    -0.00066940;        10.1592;       150.1229;     0.011201
        60;     10;     36.68;     23.49;           ;    -1076.13402921;    -0.00703586;         7.0579;        56.1579;     0.016011
        61;      9;     33.92;     24.35;           ;    -1076.13539360;    -0.00136439;         9.3001;       110.6929;     0.010853
        62;      9;     34.00;     23.12;           ;    -1076.14162880;    -0.00623520;         6.2980;        32.9049;     0.020534
        63;      9;     33.95;     23.02;           ;    -1076.14315088;    -0.00152208;         8.4936;        72.8462;     0.016462
        64;     10;     34.33;     22.92;           ;    -1076.14864422;    -0.00549334;         6.0740;        42.2613;     0.012721
        65;     10;     34.07;     23.00;           ;    -1076.15096485;    -0.00232063;         8.6247;        62.6519;     0.015317
        66;     10;     34.10;     23.31;           ;    -1076.15656199;    -0.00559715;         6.0342;        32.8389;     0.022447
        67;     10;     34.78;     23.28;           ;    -1076.15753698;    -0.00097499;         8.1229;        48.2939;     0.014133
        68;      9;     34.82;     23.52;           ;    -1076.16224403;    -0.00470705;         5.9503;        39.7151;     0.012644
        69;      9;     33.52;     23.17;           ;    -1076.16355563;    -0.00131159;         8.2054;        61.1562;     0.011064
        70;      9;     34.34;     23.14;           ;    -1076.16839992;    -0.00484429;         5.9477;        41.6759;     0.030878
        71;      9;     35.86;     23.43;           ;    -1076.16911875;    -0.00071883;         7.5905;        44.0205;     0.017888
        72;     10;     34.24;     22.90;           ;    -1076.17370807;    -0.00458932;         5.7056;        41.2697;     0.011951
        73;      9;     34.31;     23.52;           ;    -1076.17429933;    -0.00059126;         7.3668;        61.1625;     0.006105
        74;      9;     34.24;     24.87;           ;    -1076.17843369;    -0.00413435;         5.2834;        32.6433;     0.019686
