frame	E_QMMM_Eh	E_QM_Eh	E_MM_Eh	steps	walltime	break_O3_C4	form_C1_C6	r
02450	-1076.527283435050	-836.941226521802	-239.586056913248	363	0 days 18 hours 16 minutes 47 seconds 363 msec	1.472	3.295	-1.823
04085	-1075.997046350370	-836.901331913919	-239.095714436451	262	0 days 16 hours 45 minutes 36 seconds 719 msec	1.465	3.329	-1.865
05680	-1076.293184669055	-836.929151132727	-239.364033536328	261	0 days 6 hours 28 minutes 39 seconds 387 msec	1.461	3.281	-1.820
07310	-1075.166331612178	-836.915648827338	-238.250682784840	275	0 days 6 hours 39 minutes 34 seconds 893 msec	1.469	3.181	-1.712
08170	-1075.549743109399	-836.958473348301	-238.591269761098	268	0 days 7 hours 7 minutes 53 seconds 203 msec	1.472	3.243	-1.771
09025	-1075.675924692359	-836.899413988429	-238.776510703931	291	0 days 7 hours 22 minutes 29 seconds 274 msec	1.477	3.353	-1.876
09900	-1076.449828197572	-836.885844154389	-239.563984043183	280	0 days 7 hours 38 minutes 7 seconds 363 msec	1.473	3.143	-1.670
10775	-1076.317365939074	-836.963134489454	-239.354231449620	305	0 days 7 hours 37 minutes 48 seconds 995 msec	1.470	3.472	-2.001
11630	-1076.058350962308	-836.926122030382	-239.132228931927	261	0 days 7 hours 16 minutes 48 seconds 829 msec	1.487	3.177	-1.690
12485	-1076.607152155409	-836.963081001378	-239.644071154031	240	0 days 6 hours 16 minutes 52 seconds 90 msec	1.484	3.155	-1.671
14155	-1076.123628182664	-836.924761894130	-239.198866288535	295	0 days 7 hours 19 minutes 36 seconds 628 msec	1.477	3.285	-1.808
15825	-1076.194049251681	-836.887871811312	-239.306177440368	396	0 days 10 hours 6 minutes 25 seconds 365 msec	1.466	3.347	-1.881
17505	-1076.011592161411	-836.967746743379	-239.043845418032	265	0 days 6 hours 59 minutes 55 seconds 409 msec	1.473	3.260	-1.786
19185	-1075.521953286393	-836.953262910870	-238.568690375523	270	0 days 6 hours 37 minutes 52 seconds 154 msec	1.480	3.107	-1.626
