design | R:O3C4 C1C6 conv ok | P:O3C4 C1C6 conv ok | verdict
-------|--------------------|--------------------|-------
2p0   | 1.243 5.215   1  Y | 3.767 1.523   1  Y | PASS -> NEB
7p0   | 1.478 3.595   1  Y | 7.991 6.167   1  N | FAIL(P-noC1C6,P-shattered)
7p1   | 1.457 4.129   1  Y | 4.323 1.552   1  Y | PASS -> NEB
7p2   | 1.441 4.118   1  Y | 5.890 1.577   1  N | FAIL(P-shattered)
7p3   | 1.463 3.510   1  Y | 3.971 1.567   1  Y | PASS -> NEB
7p4   | 1.449 3.813   1  Y | 4.015 1.566   1  Y | PASS -> NEB
7p5   | 1.442 3.917   1  Y | 5.148 1.587   1  N | FAIL(P-shattered)
7p6   | 1.448 4.889   1  Y | 4.284 1.589   1  Y | PASS -> NEB
7p7   | 1.456 3.568   1  Y | 5.512 1.634   1  N | FAIL(P-shattered)
7p8   | 1.442 5.154   1  Y | 3.583 1.569   1  Y | PASS -> NEB
7p9   | 1.426 4.952   1  Y | 5.479 1.581   1  N | FAIL(P-shattered)
8p0   | 1.453 5.224   1  Y | 5.882 1.567   1  N | FAIL(P-shattered)
8p1   | 1.430 5.118   1  Y | 3.950 1.566   1  Y | PASS -> NEB
8p2   | 1.429 3.970   1  Y | 4.344 1.558   1  Y | PASS -> NEB
8p3   | 1.445 3.824   1  Y | 5.975 1.535   1  N | FAIL(P-shattered)
8p5   | 1.435 4.344   1  Y | 4.660 1.559   1  Y | PASS -> NEB
8p6   | 1.433 3.872   1  Y | 4.328 1.556   1  Y | PASS -> NEB
8p7   | 1.443 4.044   1  Y | 5.448 1.559   1  N | FAIL(P-shattered)
8p8   | 1.466 4.306   1  Y | 5.660 1.573   1  N | FAIL(P-shattered)
8p9   | 1.440 5.106   1  Y | 4.260 1.561   1  Y | PASS -> NEB
9p0   | 1.477 3.799   1  Y | 5.896 1.563   1  N | FAIL(P-shattered)
10p0  | 1.436 4.764   1  Y | 5.176 1.581   1  N | FAIL(P-shattered)
11p0  | 1.499 4.587   1  Y | 5.920 1.544   1  N | FAIL(P-shattered)
12p0  | 1.407 4.972   1  Y | 4.523 1.535   1  Y | PASS -> NEB
13p0  | 1.435 4.843   1  Y | 3.882 1.519   1  Y | PASS -> NEB
15p0  | 1.423 4.019   1  Y | 3.763 1.530   1  Y | PASS -> NEB
