idx	x_ang	y_ang	z_ang	shell	Dv	standoff
0	25.4865	34.0265	59.8379	3	-0.00160500	4.1959
1	22.1505	48.5090	61.1005	4	0.00401900	5.5178
2	26.1302	40.7629	53.1566	2	0.00021600	3.1945
3	27.3213	37.6181	59.3023	2	-0.00220100	3.5147
4	18.4382	44.8544	56.9858	2	0.00108800	3.1956
5	24.9740	32.5910	55.0548	4	-0.00110300	5.1961
6	18.2183	42.1821	61.8460	2	0.00118600	3.5161
7	15.9853	42.6587	56.5832	2	-0.00206600	3.1923
8	28.8110	34.7803	58.3693	4	-0.00090200	5.1963
9	21.7155	45.0193	54.6789	2	0.00082100	3.4216
10	21.5553	45.7268	63.1030	3	0.00511000	4.5152
11	16.9125	37.7989	61.5444	4	-0.00334400	5.2896
12	17.2016	46.1817	62.0450	4	0.00218300	5.5162
13	18.3283	46.5531	54.2642	4	0.00051700	5.1980
14	22.1869	39.0317	50.0868	3	-0.00039900	4.5176
15	15.0886	37.1936	54.5456	4	-0.00268100	5.5165
16	24.9456	46.8770	59.8246	3	0.00487000	4.5140
17	24.5797	47.6239	57.8296	3	0.00407300	4.5181
18	24.3606	38.6057	50.0083	4	-0.00052000	5.5177
19	18.0469	38.5188	50.6880	3	-0.00060400	4.5165
20	27.5927	37.8675	52.4142	4	-0.00060000	5.1965
21	16.6843	43.6111	54.9539	2	-0.00184700	3.1918
22	20.3077	34.8954	61.0142	3	-0.00365000	4.1936
23	26.7115	38.9296	62.5802	4	0.00083300	5.4422
24	22.1399	40.5990	51.2603	2	0.00022400	3.5145
25	16.4909	40.6382	54.3614	2	-0.00200300	3.2064
26	21.3430	43.5196	64.1288	3	0.00398900	4.5161
27	27.6167	42.4161	52.4008	4	0.00049900	5.1961
28	25.7615	33.3851	58.2746	3	-0.00111400	4.1963
29	28.7056	42.6965	56.0140	4	0.00126000	5.1955
30	24.1592	37.8174	61.8780	2	-0.00026300	3.1915
31	23.2597	47.7468	54.3238	4	0.00178100	5.5159
32	16.5655	41.6841	61.1240	3	-0.00105000	4.1954
33	19.5855	38.3929	49.1026	4	-0.00046800	5.5178
34	25.0119	40.7695	51.5085	3	-0.00006900	4.1956
35	23.9970	42.5593	64.2484	4	0.00306100	5.5184
36	24.6114	44.1217	51.6609	4	0.00064400	5.1966
37	14.8481	36.3878	57.2615	4	-0.00341700	5.5165
38	26.7846	40.4240	51.1282	4	-0.00005400	5.1968
39	15.9070	45.8855	55.9173	4	0.00006700	5.1966
40	26.4504	34.8302	57.4508	2	-0.00075600	3.1919
41	26.6330	46.9545	58.1685	4	0.00297200	5.5179
42	16.9570	35.6783	52.6365	4	-0.00244400	5.5154
43	21.9258	44.1334	50.1886	4	0.00030600	5.5158
44	20.2143	43.5507	49.3639	4	0.00015500	5.5150
45	22.5008	33.4360	57.0537	3	-0.00270700	4.1973
46	16.4667	38.6982	60.0804	3	-0.00446800	4.2096
47	17.7024	44.2968	59.9016	2	0.00199400	3.5166
48	22.9060	49.3301	57.7252	4	0.00305600	5.5159
49	28.8710	39.9830	53.4268	4	-0.00002000	5.1964
50	16.2129	42.1729	58.6201	2	-0.00210900	3.1945
51	25.1225	44.7656	59.5263	2	0.00622200	3.5130
52	22.9101	44.8182	51.6586	4	0.00058400	5.2308
53	26.0558	35.0039	54.1776	3	-0.00092900	4.1973
54	13.8142	39.8104	57.2225	4	-0.00205200	5.4896
55	27.2696	37.9746	55.2678	2	-0.00210500	3.5164
56	25.2069	46.1851	61.9735	4	0.00401900	5.5167
57	24.3752	47.1219	55.9541	3	0.00296800	4.5139
58	15.5997	44.0534	60.6333	4	0.00035100	5.3781
59	13.9012	41.5257	58.2762	4	-0.00147200	5.2511
60	24.7499	38.3906	52.9798	2	-0.00125900	3.1917
61	14.7268	41.7984	53.0009	4	-0.00103600	5.2510
62	16.3208	44.1003	62.4769	4	0.00109000	5.5156
63	26.3290	42.2189	54.3518	2	0.00119400	3.1963
64	25.8635	40.9919	59.4118	2	0.00544000	3.5163
65	19.5687	42.9550	62.9301	2	0.00424200	3.5139
66	18.7134	46.9437	58.1614	3	0.00308400	4.5161
67	18.2765	38.0573	63.3225	4	-0.00167300	5.1980
68	19.6939	42.3300	50.9903	2	0.00050700	3.5148
69	27.7548	44.9999	57.3864	4	0.00231200	5.1954
70	21.2321	46.7945	56.2690	2	0.00356600	3.5138
71	22.8235	41.3675	62.3723	2	0.00504000	3.2144
72	23.8656	45.9091	54.2729	3	0.00167600	4.1983
73	20.0441	38.4844	63.2955	3	-0.00094700	4.1964
74	23.1188	33.5839	59.1279	3	-0.00245300	4.1971
75	16.7832	46.5032	59.9561	4	0.00179400	5.5182
76	27.6497	42.5338	60.1304	4	0.00270300	5.6190
77	17.1388	41.6800	50.7805	3	-0.00020900	4.5159
78	26.7322	36.5554	62.2269	4	-0.00056200	5.3647
79	23.6508	35.4650	52.8299	3	-0.00167300	4.5111
80	21.2919	36.6975	51.7098	2	-0.00183200	3.5143
81	22.2572	37.8051	63.3285	3	-0.00038500	4.1958
82	16.1399	39.8219	52.0201	3	-0.00091000	4.5169
83	25.8578	40.6723	62.8221	4	0.00225000	5.5045
84	16.5783	38.2264	52.6260	3	-0.00171000	4.5167
85	24.8623	36.7849	54.1552	2	-0.00174000	3.2173
86	24.3594	37.6473	63.9932	4	0.00011800	5.1965
87	28.7355	34.9754	55.6483	4	-0.00081600	5.1964
88	14.7085	44.1094	57.8102	4	-0.00050900	5.2089
89	21.2728	33.3542	54.8772	4	-0.00304500	5.2479
