idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
0	65.7929	33.5538	55.0507	3.0	-0.170444	-0.170609	-0.000164
1	61.1704	38.2552	58.9228	2.0	-0.189407	-0.192112	-0.002705
2	53.7564	28.8422	52.8940	3.0	-0.122187	-0.121404	0.000783
3	51.7791	32.9650	57.0384	3.0	-0.125441	-0.125899	-0.000457
4	54.0353	31.6693	60.7869	4.0	-0.127208	-0.128939	-0.001731
5	51.6554	37.1954	55.8421	4.0	-0.130252	-0.131421	-0.001169
6	60.8522	31.9130	48.7576	3.0	-0.153101	-0.149208	0.003893
7	57.4861	30.0444	60.3898	3.0	-0.144811	-0.147251	-0.002440
8	65.7848	34.1799	58.1833	4.0	-0.147609	-0.149507	-0.001898
9	57.5723	35.1649	49.1288	3.0	-0.140226	-0.139843	0.000383
10	58.8338	27.9082	53.3223	3.0	-0.164469	-0.160679	0.003790
11	61.6673	39.3206	54.1087	3.0	-0.165318	-0.167189	-0.001872
12	58.4457	30.9914	49.8173	3.0	-0.161456	-0.158026	0.003431
13	61.4122	32.2494	62.3256	4.0	-0.136117	-0.138635	-0.002518
14	61.4388	34.5883	60.6504	2.0	-0.173886	-0.177620	-0.003734
15	60.1365	35.3482	48.0442	4.0	-0.129916	-0.129121	0.000795
16	54.3820	30.9946	58.0325	2.0	-0.139430	-0.140114	-0.000684
17	65.7037	36.2561	58.4094	4.0	-0.136720	-0.138646	-0.001926
18	56.4710	33.5531	61.5714	3.0	-0.154934	-0.158366	-0.003432
19	59.8342	38.7553	61.7661	4.0	-0.139937	-0.141739	-0.001802
20	58.4348	34.0891	61.7988	3.0	-0.161027	-0.164588	-0.003562
21	55.5219	34.3218	59.8744	2.0	-0.191034	-0.195594	-0.004560
22	51.5979	33.3245	53.8092	3.0	-0.123223	-0.123392	-0.000169
23	55.9815	35.4145	62.4591	4.0	-0.138790	-0.141162	-0.002372
24	55.2062	29.3342	57.2660	2.0	-0.135428	-0.135247	0.000181
25	50.9717	29.5324	54.4728	4.0	-0.101619	-0.101276	0.000343
26	51.3817	30.9965	55.2130	3.0	-0.111509	-0.111096	0.000412
