idx	x_ang	y_ang	z_ang	shell
0	65.7929	33.5538	55.0507	3.0
1	61.1704	38.2552	58.9228	2.0
2	53.7564	28.8422	52.8940	3.0
3	51.7791	32.9650	57.0384	3.0
4	54.0353	31.6693	60.7869	4.0
5	51.6554	37.1954	55.8421	4.0
6	60.8522	31.9130	48.7576	3.0
7	57.4861	30.0444	60.3898	3.0
8	65.7848	34.1799	58.1833	4.0
9	57.5723	35.1649	49.1288	3.0
10	58.8338	27.9082	53.3223	3.0
11	61.6673	39.3206	54.1087	3.0
12	58.4457	30.9914	49.8173	3.0
13	61.4122	32.2494	62.3256	4.0
14	61.4388	34.5883	60.6504	2.0
15	60.1365	35.3482	48.0442	4.0
16	54.3820	30.9946	58.0325	2.0
17	65.7037	36.2561	58.4094	4.0
18	56.4710	33.5531	61.5714	3.0
19	59.8342	38.7553	61.7661	4.0
20	58.4348	34.0891	61.7988	3.0
21	55.5219	34.3218	59.8744	2.0
22	51.5979	33.3245	53.8092	3.0
23	55.9815	35.4145	62.4591	4.0
24	55.2062	29.3342	57.2660	2.0
25	50.9717	29.5324	54.4728	4.0
26	51.3817	30.9965	55.2130	3.0
27	57.9818	28.1013	58.6933	3.0
28	51.4806	28.8194	55.7679	4.0
29	62.8307	33.9577	50.6665	2.0
30	53.4151	36.1977	57.5197	2.0
31	59.9881	41.2045	55.9869	3.0
32	52.1356	33.3129	52.3864	3.0
33	57.0401	37.3476	50.1642	3.0
34	52.6573	30.7765	50.4075	4.0
35	66.8007	29.4925	56.7568	4.0
36	62.7686	36.0519	51.1362	3.0
37	63.2894	35.5497	61.8214	4.0
38	53.0030	28.7188	55.1579	3.0
39	62.2982	27.4133	53.3100	3.0
40	51.8194	29.0149	53.0456	4.0
41	62.1093	37.2123	52.5231	3.0
42	60.6445	42.0876	57.1073	4.0
43	63.7622	27.9311	59.1861	4.0
44	64.8321	28.1798	50.8249	4.0
45	58.3637	36.2480	62.6218	4.0
46	61.8932	35.4151	62.5294	4.0
47	56.5591	38.9556	54.9766	2.0
48	56.5482	40.7274	57.2762	3.0
49	55.8617	28.9459	55.0040	2.0
50	63.1849	28.3722	50.9436	3.0
51	57.1699	26.6786	54.9937	4.0
52	57.2944	36.5127	60.4983	2.0
53	65.4076	35.5168	51.6379	4.0
54	58.5297	39.2039	54.0432	2.0
55	62.0974	28.2694	58.6004	3.0
56	53.3176	33.9916	51.2122	3.0
57	63.2440	35.1995	49.1313	4.0
58	63.9444	29.6555	51.9806	2.0
59	53.9919	38.2740	52.1781	4.0
60	53.5489	35.3697	55.1873	2.0
61	62.9136	33.4038	59.6096	2.0
62	55.4149	28.5257	58.5903	3.0
63	67.0080	32.6777	53.0682	4.0
64	60.9233	36.8097	62.3132	4.0
65	54.8441	36.1308	52.3313	2.0
66	63.4895	36.9755	59.7980	3.0
67	58.2277	31.8053	61.5180	3.0
68	60.8953	37.3214	60.8338	3.0
69	53.8323	29.6376	50.2116	4.0
70	66.8732	29.4269	54.4459	4.0
71	59.7441	33.7708	48.7827	3.0
72	65.1557	27.0377	55.4518	4.0
73	60.1981	30.0044	61.4734	4.0
74	65.0898	27.3443	53.6482	4.0
75	61.0613	39.6072	56.9425	2.0
76	55.2403	31.7022	51.0854	2.0
77	62.9227	38.6089	55.4694	3.0
78	58.8013	30.6032	59.5061	2.0
79	64.9352	32.4933	54.1464	2.0
80	60.1178	41.7685	54.4246	4.0
81	55.6231	27.8788	56.7850	3.0
82	53.8129	34.5660	52.7968	2.0
83	64.7690	38.2576	55.4496	4.0
84	65.3719	33.7077	59.5505	4.0
85	54.8098	29.9336	52.2709	2.0
86	62.3492	40.5602	58.8358	4.0
87	53.9491	27.5787	57.1017	4.0
88	59.0929	26.5242	54.1214	4.0
89	59.4701	34.7742	60.8103	2.0
90	52.5935	39.1422	58.2264	4.0
91	58.0530	39.6472	60.1550	3.0
92	62.6728	28.6972	52.3501	2.0
93	60.2459	27.4755	50.2065	4.0
94	57.5423	26.5071	56.4904	4.0
95	64.9843	34.6072	56.0117	3.0
96	53.8912	34.8003	60.2428	3.0
97	65.3627	32.4018	50.8547	3.0
98	65.0479	32.4498	56.3306	2.0
99	63.5495	28.6473	49.2486	4.0
100	55.2802	40.0991	53.8602	4.0
101	60.7358	36.7499	48.8441	4.0
102	65.6746	30.0463	53.4804	3.0
103	61.3855	34.6020	49.1960	3.0
104	61.7953	30.8010	47.8212	4.0
105	60.5083	27.9736	60.3667	4.0
106	58.9748	41.9502	58.8631	4.0
107	66.5818	31.5081	51.0007	4.0
108	60.4189	33.7685	61.8240	3.0
109	57.0811	26.8330	58.1309	4.0
110	64.0122	39.0575	58.7074	4.0
111	55.6398	35.3100	48.4694	4.0
112	60.2237	28.7243	52.5419	2.0
113	54.4916	35.8313	50.6027	3.0
114	53.2003	29.3732	58.9949	4.0
115	59.0059	29.1686	49.1629	4.0
116	55.7669	37.8045	60.9672	3.0
117	60.5495	35.8529	60.5790	2.0
118	59.8910	37.9416	52.3051	3.0
119	51.6082	31.2385	53.5928	3.0
120	54.5205	33.5721	61.6001	4.0
121	60.3472	40.0764	53.8426	3.0
122	65.6184	36.4640	55.5367	4.0
123	65.0790	29.6989	49.6028	4.0
124	53.4971	37.8762	59.2629	3.0
125	53.8052	39.3645	54.0587	4.0
126	63.4831	26.5757	57.4125	4.0
127	51.5714	31.5403	51.3429	4.0
128	56.2109	37.3285	52.2570	2.0
129	61.8777	26.9331	54.9615	3.0
130	59.5086	28.8462	58.5369	2.0
131	64.3096	29.1938	56.4703	2.0
132	54.3593	38.1936	57.8331	2.0
133	55.4849	29.5546	59.7344	3.0
134	63.3046	37.2857	56.8917	2.0
135	51.8795	35.8089	59.3587	4.0
136	57.0992	42.0282	55.6827	4.0
137	54.8430	37.8252	54.9330	2.0
138	62.5061	41.0186	56.5108	4.0
139	66.4498	30.0527	51.5060	4.0
140	54.9253	36.5138	53.9156	2.0
141	59.6472	27.1130	56.8594	3.0
142	58.3828	37.8049	60.0853	2.0
143	61.7553	26.7516	51.2771	4.0
144	65.1472	28.4148	58.5924	4.0
145	55.7752	32.6386	59.9077	2.0
146	52.5822	29.1335	51.6712	4.0
147	57.4075	33.5569	62.8088	4.0
148	66.6569	32.1366	57.9480	4.0
149	60.6998	32.2656	60.2822	2.0
150	56.1998	32.2656	62.3965	4.0
151	54.3964	33.7182	49.1711	4.0
152	66.4465	34.3361	53.9422	4.0
153	62.0904	28.5472	60.1357	4.0
154	57.3791	35.1899	61.5655	3.0
155	65.1022	32.0064	49.0026	4.0
156	58.1234	32.8738	49.2260	3.0
157	61.8618	31.3565	60.7417	3.0
158	61.2881	26.6229	58.0758	4.0
159	52.0188	34.5908	54.7518	3.0
160	67.2346	32.4788	55.5569	4.0
161	64.2495	32.3515	57.7544	2.0
162	57.1240	39.0500	61.5643	4.0
163	51.7891	37.9401	57.5386	4.0
164	59.5205	39.9874	59.8847	3.0
165	54.8358	40.9581	56.3574	4.0
166	66.7932	33.4736	56.6199	4.0
167	54.8823	34.2427	51.4245	2.0
168	61.1128	40.3565	60.3109	4.0
169	62.1228	32.6448	49.8299	2.0
170	62.1226	35.7376	54.1484	2.0
171	63.9266	35.7858	57.2875	2.0
172	53.4963	30.1440	56.6842	2.0
173	53.7428	37.3692	61.3206	4.0
174	63.9140	30.5901	59.3007	3.0
175	57.0445	41.2115	59.5802	4.0
176	65.3596	31.3415	59.6153	4.0
177	54.5217	37.9997	50.7150	4.0
178	63.5628	35.0814	60.3736	3.0
179	55.5501	40.9103	58.8748	4.0
180	66.2775	30.7079	55.3195	3.0
181	57.3564	29.2551	53.5851	2.0
182	60.8850	29.8056	50.4827	2.0
183	52.2673	32.3371	55.6298	2.0
184	57.9372	37.5310	52.1833	2.0
185	55.2335	36.2333	61.2250	3.0
186	56.0538	27.4508	52.0147	4.0
187	64.6717	36.4267	52.7161	4.0
188	64.3726	33.8061	52.3452	2.0
189	65.4892	30.4639	57.8349	3.0
190	54.5921	28.4126	50.9261	4.0
191	62.2627	37.2827	61.6634	4.0
