idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
0	25.4865	34.0265	59.8379	3.0	-0.106927	-0.108532	-0.001605
1	22.1505	48.5090	61.1005	4.0	-0.139125	-0.135106	0.004019
2	26.1302	40.7629	53.1566	2.0	-0.157644	-0.157428	0.000216
3	27.3213	37.6181	59.3023	2.0	-0.135269	-0.137469	-0.002201
4	18.4382	44.8544	56.9858	2.0	-0.212747	-0.211659	0.001088
5	24.9740	32.5910	55.0548	4.0	-0.105200	-0.106303	-0.001103
6	18.2183	42.1821	61.8460	2.0	-0.186821	-0.185635	0.001186
7	15.9853	42.6587	56.5832	2.0	-0.175514	-0.177581	-0.002066
8	28.8110	34.7803	58.3693	4.0	-0.098584	-0.099486	-0.000902
9	21.7155	45.0193	54.6789	2.0	-0.216357	-0.215536	0.000821
10	21.5553	45.7268	63.1030	3.0	-0.157165	-0.152055	0.005110
11	16.9125	37.7989	61.5444	4.0	-0.134790	-0.138134	-0.003344
12	17.2016	46.1817	62.0450	4.0	-0.137345	-0.135162	0.002183
13	18.3283	46.5531	54.2642	4.0	-0.155038	-0.154521	0.000517
14	22.1869	39.0317	50.0868	3.0	-0.164735	-0.165134	-0.000399
15	15.0886	37.1936	54.5456	4.0	-0.138401	-0.141083	-0.002681
16	24.9456	46.8770	59.8246	3.0	-0.157058	-0.152188	0.004870
17	24.5797	47.6239	57.8296	3.0	-0.155690	-0.151617	0.004073
18	24.3606	38.6057	50.0083	4.0	-0.138854	-0.139374	-0.000520
19	18.0469	38.5188	50.6880	3.0	-0.161504	-0.162108	-0.000604
20	27.5927	37.8675	52.4142	4.0	-0.121198	-0.121797	-0.000600
21	16.6843	43.6111	54.9539	2.0	-0.179002	-0.180849	-0.001847
22	20.3077	34.8954	61.0142	3.0	-0.124905	-0.128554	-0.003650
23	26.7115	38.9296	62.5802	4.0	-0.124092	-0.123259	0.000833
24	22.1399	40.5990	51.2603	2.0	-0.206721	-0.206497	0.000224
25	16.4909	40.6382	54.3614	2.0	-0.196612	-0.198615	-0.002003
26	21.3430	43.5196	64.1288	3.0	-0.152628	-0.148639	0.003989
27	27.6167	42.4161	52.4008	4.0	-0.126948	-0.126449	0.000499
28	25.7615	33.3851	58.2746	3.0	-0.104110	-0.105225	-0.001114
29	28.7056	42.6965	56.0140	4.0	-0.130761	-0.129501	0.001260
30	24.1592	37.8174	61.8780	2.0	-0.145045	-0.145308	-0.000263
31	23.2597	47.7468	54.3238	4.0	-0.144362	-0.142581	0.001781
32	16.5655	41.6841	61.1240	3.0	-0.160638	-0.161688	-0.001050
33	19.5855	38.3929	49.1026	4.0	-0.140410	-0.140878	-0.000468
34	25.0119	40.7695	51.5085	3.0	-0.157384	-0.157453	-0.000069
35	23.9970	42.5593	64.2484	4.0	-0.137704	-0.134643	0.003061
36	24.6114	44.1217	51.6609	4.0	-0.146843	-0.146199	0.000644
37	14.8481	36.3878	57.2615	4.0	-0.127308	-0.130725	-0.003417
38	26.7846	40.4240	51.1282	4.0	-0.128179	-0.128233	-0.000054
39	15.9070	45.8855	55.9173	4.0	-0.143046	-0.142979	0.000067
40	26.4504	34.8302	57.4508	2.0	-0.113500	-0.114256	-0.000756
41	26.6330	46.9545	58.1685	4.0	-0.136590	-0.133618	0.002972
42	16.9570	35.6783	52.6365	4.0	-0.137684	-0.140128	-0.002444
43	21.9258	44.1334	50.1886	4.0	-0.145648	-0.145342	0.000306
44	20.2143	43.5507	49.3639	4.0	-0.139350	-0.139195	0.000155
45	22.5008	33.4360	57.0537	3.0	-0.123105	-0.125812	-0.002707
46	16.4667	38.6982	60.0804	3.0	-0.152820	-0.157288	-0.004468
47	17.7024	44.2968	59.9016	2.0	-0.197858	-0.195864	0.001994
48	22.9060	49.3301	57.7252	4.0	-0.135719	-0.132663	0.003056
49	28.8710	39.9830	53.4268	4.0	-0.118811	-0.118831	-0.000020
50	16.2129	42.1729	58.6201	2.0	-0.176740	-0.178849	-0.002109
51	25.1225	44.7656	59.5263	2.0	-0.192053	-0.185831	0.006222
52	22.9101	44.8182	51.6586	4.0	-0.155425	-0.154841	0.000584
53	26.0558	35.0039	54.1776	3.0	-0.121228	-0.122157	-0.000929
54	13.8142	39.8104	57.2225	4.0	-0.133095	-0.135147	-0.002052
55	27.2696	37.9746	55.2678	2.0	-0.141104	-0.143209	-0.002105
56	25.2069	46.1851	61.9735	4.0	-0.140330	-0.136311	0.004019
57	24.3752	47.1219	55.9541	3.0	-0.160098	-0.157130	0.002968
58	15.5997	44.0534	60.6333	4.0	-0.143463	-0.143112	0.000351
59	13.9012	41.5257	58.2762	4.0	-0.133776	-0.135248	-0.001472
60	24.7499	38.3906	52.9798	2.0	-0.177000	-0.178260	-0.001259
61	14.7268	41.7984	53.0009	4.0	-0.140651	-0.141687	-0.001036
62	16.3208	44.1003	62.4769	4.0	-0.136537	-0.135447	0.001090
63	26.3290	42.2189	54.3518	2.0	-0.162985	-0.161791	0.001194
64	25.8635	40.9919	59.4118	2.0	-0.191022	-0.185582	0.005440
65	19.5687	42.9550	62.9301	2.0	-0.181617	-0.177374	0.004242
66	18.7134	46.9437	58.1614	3.0	-0.174402	-0.171318	0.003084
67	18.2765	38.0573	63.3225	4.0	-0.127566	-0.129239	-0.001673
68	19.6939	42.3300	50.9903	2.0	-0.190023	-0.189516	0.000507
69	27.7548	44.9999	57.3864	4.0	-0.137437	-0.135124	0.002312
70	21.2321	46.7945	56.2690	2.0	-0.196881	-0.193315	0.003566
71	22.8235	41.3675	62.3723	2.0	-0.189279	-0.184238	0.005040
72	23.8656	45.9091	54.2729	3.0	-0.168669	-0.166993	0.001676
73	20.0441	38.4844	63.2955	3.0	-0.139437	-0.140384	-0.000947
74	23.1188	33.5839	59.1279	3.0	-0.114686	-0.117139	-0.002453
75	16.7832	46.5032	59.9561	4.0	-0.145283	-0.143489	0.001794
76	27.6497	42.5338	60.1304	4.0	-0.142133	-0.139430	0.002703
77	17.1388	41.6800	50.7805	3.0	-0.156236	-0.156445	-0.000209
78	26.7322	36.5554	62.2269	4.0	-0.111072	-0.111634	-0.000562
79	23.6508	35.4650	52.8299	3.0	-0.148324	-0.149997	-0.001673
80	21.2919	36.6975	51.7098	2.0	-0.181327	-0.183160	-0.001832
81	22.2572	37.8051	63.3285	3.0	-0.133080	-0.133465	-0.000385
82	16.1399	39.8219	52.0201	3.0	-0.158913	-0.159823	-0.000910
83	25.8578	40.6723	62.8221	4.0	-0.137919	-0.135669	0.002250
84	16.5783	38.2264	52.6260	3.0	-0.164187	-0.165897	-0.001710
85	24.8623	36.7849	54.1552	2.0	-0.160486	-0.162227	-0.001740
86	24.3594	37.6473	63.9932	4.0	-0.117329	-0.117211	0.000118
87	28.7355	34.9754	55.6483	4.0	-0.101663	-0.102480	-0.000816
88	14.7085	44.1094	57.8102	4.0	-0.140494	-0.141003	-0.000509
89	21.2728	33.3542	54.8772	4.0	-0.130284	-0.133329	-0.003045
90	19.9098	47.7400	59.1031	3.0	-0.167111	-0.162767	0.004345
91	20.8603	36.4954	61.3750	2.0	-0.141593	-0.145057	-0.003464
92	23.7961	41.5153	52.6446	2.0	-0.199932	-0.199764	0.000168
93	14.3427	37.9891	56.5360	4.0	-0.134116	-0.136886	-0.002771
94	18.2431	44.1104	54.1082	2.0	-0.198146	-0.199505	-0.001359
95	22.8479	36.6829	50.9360	3.0	-0.152733	-0.153951	-0.001218
96	26.9221	43.4235	58.7255	3.0	-0.161658	-0.158233	0.003424
97	25.4350	42.3922	61.5271	3.0	-0.166934	-0.162478	0.004456
98	18.8296	45.3937	51.3254	4.0	-0.144418	-0.144340	0.000079
99	24.9985	44.6720	53.4276	3.0	-0.158651	-0.157447	0.001204
100	18.2188	44.5244	64.1994	4.0	-0.131906	-0.129727	0.002179
101	20.8290	34.5732	53.0983	3.0	-0.149013	-0.151872	-0.002860
102	18.5022	34.8579	55.2324	3.0	-0.152135	-0.157581	-0.005446
