idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
0	65.9947	32.6449	54.1699	3.0	-0.170255	-0.166436	0.003819
1	55.0305	40.6050	59.1387	4.0	-0.136700	-0.137397	-0.000697
2	65.4743	27.6341	55.0224	4.0	-0.134418	-0.131637	0.002781
3	61.9382	27.2365	56.1915	3.0	-0.155587	-0.153816	0.001771
4	58.1714	37.5869	62.3143	4.0	-0.142731	-0.144764	-0.002033
5	55.1908	38.8276	57.8894	2.0	-0.188754	-0.189203	-0.000449
6	52.6694	30.6775	50.0818	4.0	-0.109258	-0.109383	-0.000125
7	54.6593	35.6398	59.7582	2.0	-0.182280	-0.185256	-0.002976
8	66.5243	34.4698	54.9454	4.0	-0.149608	-0.147999	0.001608
9	61.3469	37.0820	59.6174	2.0	-0.187080	-0.189783	-0.002702
10	58.8872	30.2553	51.8921	2.0	-0.200831	-0.194117	0.006714
11	58.4281	41.2913	57.0590	3.0	-0.156219	-0.156677	-0.000458
12	50.8382	30.5168	57.6582	4.0	-0.103326	-0.104306	-0.000980
13	63.8105	29.0956	54.3479	2.0	-0.194295	-0.187446	0.006849
14	59.7622	42.2265	56.0201	4.0	-0.134315	-0.134815	-0.000500
15	53.8801	37.2550	60.1145	3.0	-0.150737	-0.152290	-0.001553
16	64.5392	38.5029	58.4832	4.0	-0.136226	-0.137211	-0.000985
17	65.8186	33.5350	58.9217	4.0	-0.143676	-0.143952	-0.000276
18	54.4812	29.2465	50.0697	4.0	-0.116668	-0.116096	0.000573
19	61.2878	39.6103	60.6407	4.0	-0.139028	-0.140242	-0.001214
20	52.9191	37.4328	53.0332	4.0	-0.135167	-0.136263	-0.001096
21	56.9659	27.8522	51.4735	4.0	-0.133349	-0.131526	0.001823
22	57.9463	35.4732	48.1597	4.0	-0.127384	-0.126307	0.001077
23	59.3590	28.1327	55.2947	2.0	-0.174202	-0.172472	0.001731
24	53.2174	31.6787	51.9457	2.0	-0.134414	-0.135998	-0.001584
25	60.9327	38.7423	52.9962	3.0	-0.170770	-0.171239	-0.000469
26	61.9200	33.1794	48.9821	3.0	-0.153796	-0.149882	0.003914
27	61.2634	30.3309	58.9490	2.0	-0.187805	-0.192021	-0.004217
28	55.5932	27.5443	57.8020	3.0	-0.121080	-0.122688	-0.001609
29	62.8983	26.7026	57.5988	4.0	-0.132716	-0.131968	0.000748
30	61.4303	35.2013	60.5646	2.0	-0.176885	-0.179984	-0.003099
31	50.2570	30.3108	55.8367	4.0	-0.099509	-0.100187	-0.000678
32	62.5677	39.3697	57.0573	3.0	-0.161389	-0.162633	-0.001244
33	52.3658	33.7391	50.0619	4.0	-0.113148	-0.113534	-0.000386
34	61.3774	26.2139	55.1605	4.0	-0.137723	-0.135777	0.001945
35	57.5944	33.5243	48.0238	4.0	-0.128854	-0.127240	0.001614
36	61.2258	35.9556	49.7827	3.0	-0.152350	-0.150933	0.001417
37	53.3121	34.5091	56.6362	2.0	-0.169391	-0.171052	-0.001660
38	57.4926	35.4224	50.2018	2.0	-0.156500	-0.155446	0.001054
39	63.6473	34.4898	58.2759	2.0	-0.188035	-0.190074	-0.002039
40	64.6283	36.0219	60.4033	4.0	-0.135878	-0.137197	-0.001319
41	51.6522	31.9021	50.5789	4.0	-0.107131	-0.107578	-0.000447
42	51.9318	28.1137	55.9104	4.0	-0.101552	-0.102380	-0.000829
43	64.5469	27.7893	51.6906	4.0	-0.133821	-0.129549	0.004272
44	53.8594	36.7233	55.3593	2.0	-0.184297	-0.186401	-0.002104
45	66.7934	31.5325	57.8818	4.0	-0.136346	-0.135430	0.000916
46	56.0019	34.2998	48.0970	4.0	-0.121010	-0.120137	0.000873
47	54.8730	36.0013	62.1612	4.0	-0.135253	-0.137732	-0.002479
48	51.6927	32.0528	52.2033	3.0	-0.116089	-0.117043	-0.000953
49	56.6719	29.8895	61.5821	4.0	-0.126239	-0.130005	-0.003767
50	59.9759	26.5721	53.5345	4.0	-0.140878	-0.138283	0.002595
51	62.7159	31.4776	50.0995	2.0	-0.178090	-0.170077	0.008014
52	56.3578	41.2273	58.8087	4.0	-0.139592	-0.140172	-0.000580
53	51.5445	30.1802	51.4958	4.0	-0.104320	-0.104789	-0.000469
54	54.2899	33.2323	48.9680	4.0	-0.119930	-0.119550	0.000380
55	54.8579	27.5440	56.1118	3.0	-0.119910	-0.121067	-0.001157
56	60.9786	32.5342	60.4315	2.0	-0.178531	-0.184144	-0.005613
57	61.7564	41.4015	55.5032	4.0	-0.136557	-0.137107	-0.000550
58	60.6870	39.7921	56.9644	2.0	-0.185353	-0.186397	-0.001044
59	57.2731	42.0979	56.1456	4.0	-0.136388	-0.136873	-0.000485
60	61.6632	37.5641	54.4039	2.0	-0.205326	-0.206308	-0.000982
61	63.4169	29.3806	48.9404	4.0	-0.129016	-0.124769	0.004247
62	53.6123	33.9020	61.0359	4.0	-0.134621	-0.137605	-0.002984
63	56.5803	27.0236	55.8017	3.0	-0.129029	-0.129545	-0.000516
64	54.2623	34.1111	58.6471	2.0	-0.183543	-0.187618	-0.004075
65	63.6083	30.7281	58.4369	2.0	-0.184626	-0.185210	-0.000583
66	62.1043	39.7528	53.1507	4.0	-0.145996	-0.146254	-0.000258
67	57.2117	30.1238	49.5451	4.0	-0.138760	-0.136286	0.002474
68	62.4858	26.6675	53.2376	4.0	-0.140251	-0.136650	0.003601
69	59.2532	35.3960	61.9521	3.0	-0.159031	-0.162642	-0.003610
70	56.5260	30.5673	51.4882	2.0	-0.169889	-0.167148	0.002741
71	54.3345	28.6985	60.1348	4.0	-0.112108	-0.114302	-0.002194
72	62.1217	30.4519	48.1198	4.0	-0.129989	-0.126099	0.003890
73	59.7873	37.0315	51.8835	2.0	-0.182052	-0.181947	0.000104
74	53.1752	32.0003	58.8651	3.0	-0.133610	-0.136107	-0.002496
75	64.6461	36.1090	55.3450	3.0	-0.171061	-0.170745	0.000316
76	52.8410	29.9503	55.6664	2.0	-0.118213	-0.119109	-0.000895
77	56.0175	38.4735	61.7912	4.0	-0.137423	-0.138925	-0.001502
78	65.8216	30.5890	53.7520	3.0	-0.165503	-0.160382	0.005121
79	65.8020	32.5747	49.8807	4.0	-0.131843	-0.128403	0.003440
80	56.1626	36.2134	49.5955	3.0	-0.134698	-0.134340	0.000358
81	56.0704	32.1099	61.4598	3.0	-0.144079	-0.149504	-0.005424
