idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
0	55.4466	36.0585	48.6096	4.0	3.996	-0.118937558	-0.118291335	0.000646224	0.4055
1	56.1877	31.2600	62.3452	4.0	3.997	-0.124578054	-0.129018271	-0.004440217	-2.7863
2	59.5221	30.4109	62.1332	4.0	3.997	-0.130411779	-0.134739046	-0.004327268	-2.7154
3	54.9787	37.7480	51.8856	3.0	2.995	-0.145466926	-0.146141923	-0.000674997	-0.4236
4	59.0712	42.4236	59.8961	5.0	4.999	-0.119654114	-0.120500249	-0.000846136	-0.5310
5	55.2057	28.7241	60.6566	4.0	3.996	-0.113252806	-0.115969626	-0.002716820	-1.7048
6	66.2462	28.4643	55.3525	4.0	3.996	-0.135839501	-0.132973289	0.002866212	1.7986
7	53.0737	37.9074	55.6023	3.0	2.997	-0.154630397	-0.155964391	-0.001333994	-0.8371
8	56.1572	29.5324	62.4744	5.0	5.004	-0.111238295	-0.114368467	-0.003130172	-1.9642
9	56.2675	39.6490	59.3794	3.0	2.995	-0.165697857	-0.166594425	-0.000896568	-0.5626
10	54.4535	40.6860	58.1667	4.0	3.996	-0.137568976	-0.138359055	-0.000790079	-0.4958
11	55.2979	37.2690	50.8369	3.0	2.995	-0.137825490	-0.137942037	-0.000116547	-0.0731
12	56.8612	36.4986	49.6269	3.0	2.999	-0.136694158	-0.135901608	0.000792550	0.4973
13	67.2863	31.2900	55.6534	4.0	3.998	-0.139260451	-0.136866671	0.002393780	1.5021
14	63.0676	34.1318	62.0740	4.0	3.997	-0.133231006	-0.135862985	-0.002631979	-1.6516
15	53.2929	33.4420	48.3252	5.0	4.997	-0.106479939	-0.106033735	0.000446204	0.2800
16	49.0190	31.8876	53.5570	5.0	4.998	-0.093317541	-0.093787313	-0.000469773	-0.2948
17	54.0447	25.8855	57.6026	5.0	4.998	-0.097695115	-0.098491734	-0.000796619	-0.4999
18	52.6794	35.3009	61.9965	5.0	4.997	-0.116205728	-0.118341183	-0.002135455	-1.3400
19	61.5149	41.0132	58.9404	4.0	3.997	-0.136169054	-0.137325238	-0.001156184	-0.7255
20	49.7672	31.5999	58.3090	5.0	4.997	-0.097286548	-0.098267384	-0.000980836	-0.6155
21	53.3463	37.6894	60.8623	4.0	3.997	-0.131029700	-0.132669836	-0.001640136	-1.0292
22	57.4406	34.4684	64.2883	5.0	4.997	-0.116750858	-0.119825414	-0.003074556	-1.9293
23	66.5705	27.6656	57.3511	5.0	4.996	-0.117037361	-0.115730816	0.001306545	0.8199
24	65.0439	26.8329	58.3999	5.0	4.999	-0.116431295	-0.115735063	0.000696233	0.4369
25	61.9464	37.5026	48.5937	5.0	4.996	-0.121757505	-0.120613088	0.001144417	0.7181
26	66.2461	33.3254	50.7456	4.0	3.995	-0.136111069	-0.132744293	0.003366777	2.1127
27	68.0171	33.2184	56.7531	5.0	4.996	-0.124996891	-0.123973532	0.001023358	0.6422
28	52.5313	29.8095	60.6644	5.0	4.998	-0.103025386	-0.104964627	-0.001939240	-1.2169
29	58.3585	27.1280	59.5675	4.0	3.997	-0.120962807	-0.122811023	-0.001848216	-1.1598
30	53.1672	34.5916	48.4571	5.0	4.998	-0.106330378	-0.106021589	0.000308789	0.1938
31	54.1497	31.6835	61.0796	4.0	4.014	-0.125547292	-0.129308112	-0.003760820	-2.3600
32	50.4213	28.0974	54.6294	5.0	4.998	-0.091181341	-0.091637571	-0.000456230	-0.2863
33	67.3359	28.9435	53.5294	5.0	4.998	-0.123322424	-0.120315658	0.003006766	1.8868
34	65.6260	30.5160	60.7237	5.0	4.996	-0.120557869	-0.121166791	-0.000608922	-0.3821
35	51.6862	29.6920	54.9011	3.0	2.995	-0.107255247	-0.107876639	-0.000621392	-0.3899
36	53.9555	38.5125	52.7934	4.0	3.997	-0.138862710	-0.139762277	-0.000899566	-0.5645
37	61.8597	37.3782	49.8726	4.0	3.997	-0.137925198	-0.136839651	0.001085547	0.6812
38	59.3998	40.7484	54.3973	3.0	2.996	-0.160037201	-0.160681011	-0.000643810	-0.4040
39	58.8998	32.8862	48.0784	4.0	3.997	-0.134988998	-0.132233735	0.002755263	1.7290
40	51.5836	37.5190	57.1343	4.0	3.996	-0.129641973	-0.130776142	-0.001134169	-0.7117
41	64.3608	26.8727	54.8567	4.0	3.997	-0.135966310	-0.132966949	0.002999361	1.8821
42	52.6581	39.2931	58.0434	4.0	3.995	-0.131690179	-0.132667584	-0.000977404	-0.6133
43	64.8546	36.1322	49.4397	5.0	4.999	-0.124038871	-0.122255347	0.001783524	1.1192
44	62.2809	38.4973	52.0575	4.0	3.996	-0.149987618	-0.149645768	0.000341851	0.2145
45	53.3953	31.1666	50.6703	3.0	2.996	-0.123238715	-0.123298813	-0.000060098	-0.0377
46	53.6452	29.0875	50.5317	4.0	3.995	-0.111881741	-0.111492523	0.000389219	0.2442
47	50.8026	30.9459	59.4532	5.0	4.996	-0.100194615	-0.101542721	-0.001348105	-0.8459
48	60.2077	42.0590	57.5861	4.0	3.996	-0.134953186	-0.135713239	-0.000760052	-0.4769
49	60.4531	30.7963	47.0622	5.0	4.997	-0.118711890	-0.115695509	0.003016381	1.8928
50	56.7165	34.0491	47.9818	4.0	3.999	-0.123316966	-0.121790133	0.001526833	0.9581
51	53.6116	36.6504	61.4115	4.0	3.997	-0.131698450	-0.133833737	-0.002135287	-1.3399
52	63.4800	41.4113	56.9322	5.0	4.996	-0.122626127	-0.123343273	-0.000717146	-0.4500
53	50.5425	37.2171	56.0313	5.0	4.998	-0.115348473	-0.116298034	-0.000949562	-0.5959
54	57.2209	26.5049	60.2580	5.0	4.997	-0.107197504	-0.108804897	-0.001607392	-1.0087
55	66.5341	37.3112	57.7771	5.0	4.999	-0.124188517	-0.124649712	-0.000461195	-0.2894
56	55.4107	33.3547	63.7020	5.0	4.996	-0.114754810	-0.117930574	-0.003175765	-1.9928
57	53.2375	36.5370	62.3959	5.0	4.996	-0.116521246	-0.118478897	-0.001957651	-1.2284
58	61.1765	26.1319	50.7763	5.0	4.997	-0.119928601	-0.116718040	0.003210562	2.0147
59	61.1022	26.3158	54.5681	4.0	3.997	-0.139668975	-0.137106874	0.002562101	1.6077
60	52.4830	35.0486	49.1818	5.0	5.015	-0.106607696	-0.106570281	0.000037415	0.0235
61	57.7065	31.0781	47.7900	5.0	4.999	-0.122690859	-0.120265747	0.002425112	1.5218
62	55.1825	26.5468	57.7598	4.0	3.997	-0.108081368	-0.109147846	-0.001066478	-0.6692
63	59.9654	43.1222	55.3626	5.0	4.998	-0.119834120	-0.120305064	-0.000470944	-0.2955
64	61.0839	37.0324	49.1977	4.0	3.997	-0.134438204	-0.133224574	0.001213631	0.7616
65	52.8006	26.4339	55.4793	5.0	4.998	-0.097009315	-0.097516059	-0.000506744	-0.3180
66	52.6248	33.0215	61.1876	5.0	4.999	-0.117330022	-0.119875282	-0.002545260	-1.5972
67	59.4987	37.8784	62.0222	4.0	3.998	-0.144162374	-0.146576399	-0.002414025	-1.5148
68	56.6912	25.2081	57.8319	5.0	4.999	-0.104102378	-0.104674862	-0.000572484	-0.3592
69	61.6562	27.3875	50.4990	4.0	3.996	-0.134130254	-0.129599991	0.004530262	2.8428
70	64.0487	30.0786	48.8775	4.0	3.996	-0.130344785	-0.125775824	0.004568961	2.8671
71	60.7563	32.6188	46.9037	5.0	4.997	-0.119956863	-0.117291832	0.002665032	1.6723
72	57.0929	29.9512	50.8124	3.0	2.995	-0.155410706	-0.151962633	0.003448073	2.1637
73	59.5951	37.1798	61.1331	3.0	2.995	-0.167623897	-0.170671276	-0.003047379	-1.9123
74	50.2449	36.1501	55.2482	5.0	4.998	-0.112563759	-0.113460285	-0.000896526	-0.5626
75	59.5491	27.0747	55.3351	3.0	2.995	-0.149492652	-0.147805042	0.001687609	1.0590
76	63.8945	32.1042	59.6704	3.0	3.018	-0.160446108	-0.162437565	-0.001991458	-1.2497
77	61.1007	29.0794	48.7631	4.0	3.996	-0.132650712	-0.128190975	0.004459736	2.7985
78	51.6571	31.7457	50.6047	4.0	3.998	-0.106800609	-0.107047143	-0.000246534	-0.1547
79	54.8902	36.9299	63.1339	5.0	4.997	-0.119585011	-0.121771708	-0.002186696	-1.3722
80	55.0190	27.4725	55.8398	3.0	2.995	-0.119461162	-0.120378936	-0.000917774	-0.5759
81	54.7459	39.1928	62.1961	5.0	4.996	-0.119011860	-0.120456624	-0.001444764	-0.9066
82	52.9664	28.1797	57.7750	4.0	4.024	-0.105193993	-0.106464339	-0.001270347	-0.7972
83	64.4093	32.3080	62.1459	5.0	4.996	-0.120776080	-0.122457279	-0.001681199	-1.0550
84	56.7183	29.9084	61.6099	4.0	4.020	-0.124406263	-0.128652399	-0.004246137	-2.6645
85	58.1995	36.5063	63.7578	5.0	4.998	-0.123588912	-0.126246948	-0.002658036	-1.6679
86	57.8576	42.1932	60.1380	5.0	4.997	-0.120872358	-0.121726710	-0.000854352	-0.5361
87	64.1685	28.8439	48.3609	5.0	4.997	-0.115016390	-0.111462544	0.003553846	2.2301
88	60.3485	27.1333	49.3109	5.0	4.999	-0.119102803	-0.115828506	0.003274296	2.0547
89	57.2658	32.2116	63.0849	4.0	3.998	-0.125789638	-0.130249873	-0.004460235	-2.7988
90	53.6297	33.0902	62.3791	5.0	5.000	-0.116298958	-0.119233049	-0.002934091	-1.8412
91	61.9700	27.4039	59.0633	4.0	4.000	-0.133430800	-0.134066270	-0.000635470	-0.3988
92	59.8123	26.3225	60.2892	5.0	4.996	-0.111524626	-0.112747226	-0.001222600	-0.7672
93	63.8944	35.3043	48.1838	5.0	4.998	-0.121250039	-0.119157157	0.002092882	1.3133
94	65.0797	28.6426	55.9869	3.0	2.998	-0.155925496	-0.152765589	0.003159907	1.9829
95	64.8206	33.2191	47.8311	5.0	4.998	-0.117040828	-0.114283741	0.002757087	1.7301
96	51.5142	27.6742	52.7046	5.0	4.998	-0.094689516	-0.094901671	-0.000212155	-0.1331
97	56.1314	41.9557	59.5630	5.0	4.998	-0.123260278	-0.124052652	-0.000792374	-0.4972
98	54.3191	41.8594	57.0833	5.0	4.998	-0.122563090	-0.123232803	-0.000669713	-0.4203
99	62.9061	39.1703	51.5693	5.0	4.997	-0.132923345	-0.132529769	0.000393577	0.2470
100	63.9850	36.8013	51.5082	4.0	3.998	-0.148157374	-0.146883458	0.001273916	0.7994
101	60.9103	26.9533	60.7132	5.0	4.997	-0.114825024	-0.116162391	-0.001337367	-0.8392
102	51.4515	36.0601	55.0573	4.0	3.996	-0.129094462	-0.130256417	-0.001161955	-0.7291
103	53.7676	39.1572	57.1292	3.0	2.996	-0.156105454	-0.157062657	-0.000957203	-0.6007
104	53.6318	38.6985	61.9136	5.0	4.996	-0.116850464	-0.118285180	-0.001434716	-0.9003
105	52.5921	31.0305	59.5624	4.0	4.013	-0.115259859	-0.117418488	-0.002158629	-1.3546
106	53.0241	30.7974	58.5114	3.0	2.995	-0.120830465	-0.122790889	-0.001960424	-1.2302
107	55.3805	34.5179	48.2944	4.0	3.995	-0.119024310	-0.118043707	0.000980603	0.6153
108	55.0985	38.5262	61.5085	4.0	3.997	-0.135342763	-0.137024414	-0.001681652	-1.0553
109	58.4633	30.4160	50.3875	3.0	2.997	-0.166174273	-0.161114647	0.005059626	3.1750
110	57.7092	38.9708	52.7513	3.0	2.995	-0.170066950	-0.170836685	-0.000769735	-0.4830
111	55.1124	31.3822	47.9472	5.0	4.997	-0.111901660	-0.110662597	0.001239063	0.7775
