idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
0	55.2325	35.5273	49.6700	3.0	3.000	-0.131356650	-0.130691571	0.000665079	0.4173
1	65.0026	29.8273	58.1110	3.0	2.999	-0.154136691	-0.153236689	0.000900002	0.5648
2	55.8325	37.0273	61.2552	3.0	3.000	-0.158453285	-0.161220812	-0.002767526	-1.7366
3	54.9325	27.4969	56.3110	3.0	3.000	-0.117908880	-0.118979723	-0.001070842	-0.6720
4	62.1325	39.6133	55.1110	3.0	2.999	-0.162904094	-0.163794150	-0.000890056	-0.5585
5	63.3325	31.6273	49.2311	3.0	3.000	-0.151253457	-0.145571294	0.005682163	3.5656
6	51.6325	34.4791	56.0110	3.0	2.998	-0.131746981	-0.132786777	-0.001039796	-0.6525
7	58.5325	30.7273	61.2694	3.0	2.999	-0.144097587	-0.150479120	-0.006381533	-4.0045
8	55.8325	40.0273	55.4654	3.0	2.999	-0.171278831	-0.172135208	-0.000856377	-0.5374
9	63.0325	35.8273	60.5967	3.0	2.999	-0.151440683	-0.154407332	-0.002966649	-1.8616
10	61.2325	27.4049	53.9110	3.0	3.000	-0.162919520	-0.158584633	0.004334887	2.7202
11	54.0325	30.0761	50.9110	3.0	2.999	-0.125525950	-0.125291092	0.000234857	0.1474
12	65.7602	33.7273	53.3110	3.0	3.000	-0.168657084	-0.165096514	0.003560570	2.2343
13	61.2325	36.1273	49.8939	3.0	2.999	-0.151975559	-0.150414862	0.001560697	0.9794
14	60.0325	40.0273	59.5169	3.0	2.999	-0.158397754	-0.159759324	-0.001361569	-0.8544
15	54.0325	32.2273	59.6373	3.0	3.000	-0.141737405	-0.145929291	-0.004191887	-2.6304
16	58.5325	30.4894	50.3110	3.0	2.999	-0.166091969	-0.161000710	0.005091259	3.1948
17	65.2517	29.5273	53.3110	3.0	2.999	-0.166211605	-0.159993419	0.006218186	3.9020
18	59.7325	27.1880	57.8110	3.0	3.000	-0.139332182	-0.139941376	-0.000609194	-0.3823
19	53.1325	38.1872	58.1110	3.0	2.999	-0.151593466	-0.152741229	-0.001147763	-0.7202
20	51.5882	29.8273	54.8110	3.0	3.000	-0.107176163	-0.107771104	-0.000594941	-0.3733
21	57.9325	38.6506	52.4110	3.0	3.000	-0.169062952	-0.169684508	-0.000621556	-0.3900
22	53.6449	36.7273	53.6110	3.0	2.999	-0.156492201	-0.158158115	-0.001665914	-1.0454
23	59.1325	34.9273	62.1469	3.0	3.000	-0.153816568	-0.158676597	-0.004860028	-3.0497
24	52.2325	33.7273	51.6178	3.0	2.999	-0.123240038	-0.124073211	-0.000833173	-0.5228
25	62.4325	31.9273	60.8554	3.0	3.000	-0.152312706	-0.155958173	-0.003645467	-2.2876
26	57.3325	28.0899	53.0110	3.0	2.999	-0.149668753	-0.147393307	0.002275447	1.4279
27	65.0108	34.0273	57.8110	3.0	2.999	-0.168361458	-0.168756766	-0.000395308	-0.2481
28	56.1325	28.9273	59.8293	3.0	2.999	-0.125954455	-0.129343138	-0.003388683	-2.1264
29	59.4325	41.2273	55.8055	3.0	2.998	-0.157791593	-0.158460336	-0.000668743	-0.4196
30	58.5325	34.0273	49.0791	3.0	3.000	-0.148525799	-0.146014964	0.002510835	1.5756
31	55.8325	39.7273	59.0978	3.0	2.998	-0.163664166	-0.164499339	-0.000835173	-0.5241
32	63.9325	35.0754	50.9110	3.0	2.998	-0.161352054	-0.158653352	0.002698702	1.6935
33	63.0325	27.4914	56.6110	3.0	3.000	-0.153780965	-0.151855877	0.001925089	1.2080
34	63.0325	38.5098	58.4110	3.0	3.000	-0.156998297	-0.159255234	-0.002256937	-1.4162
35	62.1325	28.8174	50.3110	3.0	2.999	-0.153037723	-0.146475262	0.006562461	4.1180
36	52.8325	29.8273	57.7807	3.0	2.999	-0.113800247	-0.115232424	-0.001432176	-0.8987
37	53.4325	35.2154	59.9110	3.0	3.000	-0.151202099	-0.153960728	-0.002758629	-1.7311
38	66.2685	31.3273	55.1110	3.0	3.000	-0.163955163	-0.160127009	0.003828154	2.4022
39	55.5325	32.5103	49.7110	3.0	3.000	-0.139636462	-0.138006753	0.001629710	1.0227
40	64.6403	36.4273	55.7110	3.0	3.000	-0.165904474	-0.165980578	-0.000076104	-0.0478
41	56.7090	32.8273	62.0110	3.0	2.999	-0.143563957	-0.149766621	-0.006202664	-3.8922
42	61.8325	29.1027	59.3110	3.0	2.998	-0.155577581	-0.157715995	-0.002138414	-1.3419
43	63.0325	36.4273	52.1934	3.0	2.998	-0.172044250	-0.171021382	0.001022867	0.6419
44	54.0325	28.3977	53.3110	3.0	3.000	-0.121020976	-0.121593536	-0.000572560	-0.3593
45	65.4987	32.5273	51.2110	3.0	3.000	-0.156909363	-0.151847522	0.005061841	3.1764
46	58.2325	37.9022	61.1110	3.0	2.999	-0.165525530	-0.167979651	-0.002454121	-1.5400
47	60.0325	39.7273	53.2794	3.0	3.000	-0.164415003	-0.164929371	-0.000514369	-0.3228
48	58.5325	36.7273	49.9392	3.0	2.999	-0.146562595	-0.145608617	0.000953978	0.5986
49	61.5325	33.6635	49.1110	3.0	2.999	-0.156821360	-0.153020786	0.003800574	2.3849
50	57.9325	27.1072	56.0110	3.0	3.000	-0.137680859	-0.137537059	0.000143800	0.0902
51	51.0762	32.2273	53.6110	3.0	3.000	-0.113055985	-0.113710371	-0.000654386	-0.4106
52	55.0811	37.6273	51.5110	3.0	2.998	-0.142333615	-0.142816662	-0.000483047	-0.3031
53	51.0578	31.6273	56.3110	3.0	3.000	-0.110535300	-0.111061939	-0.000526640	-0.3305
54	59.7325	28.3273	51.6624	3.0	2.998	-0.161722446	-0.156165848	0.005556598	3.4868
55	61.2325	40.6067	57.2110	3.0	3.000	-0.156905945	-0.158033828	-0.001127883	-0.7078
56	61.2325	30.7273	49.0595	3.0	3.000	-0.153060220	-0.147256146	0.005804074	3.6421
57	63.6325	27.7086	54.5110	3.0	3.000	-0.160317443	-0.155865662	0.004451781	2.7935
58	52.3253	35.5273	53.6110	3.0	2.999	-0.137045416	-0.138472963	-0.001427547	-0.8958
59	52.5325	33.1273	58.3491	3.0	2.999	-0.134631534	-0.136509084	-0.001877550	-1.1782
60	64.7884	30.1273	50.9110	3.0	2.999	-0.154252434	-0.147763663	0.006488771	4.0718
61	61.2325	34.0273	61.7606	3.0	3.000	-0.151398927	-0.155655400	-0.004256473	-2.6710
62	65.2679	28.9273	56.3110	3.0	2.999	-0.155458796	-0.152601402	0.002857394	1.7930
63	51.9325	30.5397	52.7110	3.0	2.998	-0.113260887	-0.113953368	-0.000692480	-0.4345
64	61.5325	37.9273	60.2113	3.0	3.000	-0.162024167	-0.164771716	-0.002747549	-1.7241
65	53.7325	39.0552	56.3110	3.0	2.999	-0.157020539	-0.158064889	-0.001044350	-0.6553
66	52.4695	36.4273	56.0110	3.0	3.000	-0.151188199	-0.152683727	-0.001495528	-0.9385
67	57.6325	41.1352	57.2110	3.0	3.000	-0.160689785	-0.161236319	-0.000546534	-0.3430
68	58.5325	28.3273	59.4207	3.0	2.999	-0.136450745	-0.139529231	-0.003078486	-1.9318
69	64.2325	32.2273	59.3839	3.0	2.999	-0.161361915	-0.162905984	-0.001544069	-0.9689
70	54.0325	38.2529	59.6110	3.0	2.999	-0.153141196	-0.154462861	-0.001321665	-0.8294
71	64.2325	36.5009	59.0110	3.0	2.998	-0.151253058	-0.153438442	-0.002185384	-1.3713
72	56.1325	30.7273	60.7030	3.0	3.000	-0.138298583	-0.143999033	-0.005700450	-3.5771
73	55.5325	34.6273	61.3199	3.0	2.999	-0.157239674	-0.162483048	-0.005243374	-3.2903
74	53.4325	35.8273	51.9704	3.0	2.998	-0.138855423	-0.139747473	-0.000892050	-0.5598
75	55.3771	38.8273	53.9110	3.0	2.998	-0.169948446	-0.171288987	-0.001340542	-0.8412
76	60.6325	27.2499	55.4110	3.0	3.000	-0.158051930	-0.155764049	0.002287881	1.4357
