idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
0	55.4466	36.0585	48.6096	4.0	3.996	-0.119403387	-0.119056710	0.000346677	0.2175
1	56.1877	31.2600	62.3452	4.0	3.997	-0.126076825	-0.129957150	-0.003880326	-2.4349
2	59.5221	30.4109	62.1332	4.0	3.997	-0.132393050	-0.136096780	-0.003703730	-2.3241
3	54.9787	37.7480	51.8856	3.0	2.995	-0.145981295	-0.146840856	-0.000859561	-0.5394
4	59.0712	42.4236	59.8961	5.0	4.999	-0.118783988	-0.119427024	-0.000643035	-0.4035
5	55.2057	28.7241	60.6566	4.0	3.996	-0.115091895	-0.117622664	-0.002530769	-1.5881
6	66.2462	28.4643	55.3525	4.0	3.996	-0.134319141	-0.131697058	0.002622083	1.6454
7	53.0737	37.9074	55.6023	3.0	2.997	-0.153538326	-0.154793103	-0.001254777	-0.7874
8	56.1572	29.5324	62.4744	5.0	5.004	-0.112702557	-0.115487073	-0.002784516	-1.7473
9	56.2675	39.6490	59.3794	3.0	2.995	-0.163350512	-0.164013982	-0.000663470	-0.4163
10	54.4535	40.6860	58.1667	4.0	3.996	-0.135834375	-0.136500275	-0.000665900	-0.4179
11	55.2979	37.2690	50.8369	3.0	2.995	-0.138593952	-0.138986853	-0.000392901	-0.2465
12	56.8612	36.4986	49.6269	3.0	2.999	-0.137671106	-0.137249424	0.000421682	0.2646
13	67.2863	31.2900	55.6534	4.0	3.998	-0.137876400	-0.135677309	0.002199091	1.3800
14	63.0676	34.1318	62.0740	4.0	3.997	-0.134727937	-0.136771869	-0.002043931	-1.2826
15	53.2929	33.4420	48.3252	5.0	4.997	-0.106619529	-0.106427268	0.000192261	0.1206
16	49.0190	31.8876	53.5570	5.0	4.998	-0.093646293	-0.094196318	-0.000550025	-0.3451
17	54.0447	25.8855	57.6026	5.0	4.998	-0.098844287	-0.099680028	-0.000835741	-0.5244
18	52.6794	35.3009	61.9965	5.0	4.997	-0.116264747	-0.118137745	-0.001872998	-1.1753
19	61.5149	41.0132	58.9404	4.0	3.997	-0.135533264	-0.136377207	-0.000843943	-0.5296
20	49.7672	31.5999	58.3090	5.0	4.997	-0.097961201	-0.098932024	-0.000970823	-0.6092
21	53.3463	37.6894	60.8623	4.0	3.997	-0.130240135	-0.131649193	-0.001409058	-0.8842
22	57.4406	34.4684	64.2883	5.0	4.997	-0.117469619	-0.120031066	-0.002561446	-1.6073
23	66.5705	27.6656	57.3511	5.0	4.996	-0.116442416	-0.115224901	0.001217515	0.7640
24	65.0439	26.8329	58.3999	5.0	4.999	-0.116293233	-0.115629414	0.000663819	0.4166
25	61.9464	37.5026	48.5937	5.0	4.996	-0.121825595	-0.120870410	0.000955185	0.5994
26	66.2461	33.3254	50.7456	4.0	3.995	-0.134651344	-0.131571305	0.003080039	1.9328
27	68.0171	33.2184	56.7531	5.0	4.996	-0.124545220	-0.123555579	0.000989641	0.6210
28	52.5313	29.8095	60.6644	5.0	4.998	-0.104211628	-0.106030758	-0.001819130	-1.1415
29	58.3585	27.1280	59.5675	4.0	3.997	-0.122957783	-0.124701196	-0.001743413	-1.0940
30	53.1672	34.5916	48.4571	5.0	4.998	-0.106519265	-0.106446873	0.000072392	0.0454
31	54.1497	31.6835	61.0796	4.0	4.014	-0.126921918	-0.130315796	-0.003393878	-2.1297
32	50.4213	28.0974	54.6294	5.0	4.998	-0.091786162	-0.092320196	-0.000534034	-0.3351
33	67.3359	28.9435	53.5294	5.0	4.998	-0.121881074	-0.119134879	0.002746195	1.7233
34	65.6260	30.5160	60.7237	5.0	4.996	-0.121004759	-0.121438814	-0.000434054	-0.2724
35	51.6862	29.6920	54.9011	3.0	2.995	-0.108203297	-0.108946289	-0.000742991	-0.4662
36	53.9555	38.5125	52.7934	4.0	3.997	-0.138665362	-0.139625512	-0.000960149	-0.6025
37	61.8597	37.3782	49.8726	4.0	3.997	-0.138215520	-0.137339026	0.000876494	0.5500
38	59.3998	40.7484	54.3973	3.0	2.996	-0.158440538	-0.159073795	-0.000633258	-0.3974
39	58.8998	32.8862	48.0784	4.0	3.997	-0.134957743	-0.132610023	0.002347720	1.4732
40	51.5836	37.5190	57.1343	4.0	3.996	-0.129043678	-0.130103893	-0.001060215	-0.6653
41	64.3608	26.8727	54.8567	4.0	3.997	-0.134826946	-0.132076428	0.002750518	1.7260
42	52.6581	39.2931	58.0434	4.0	3.995	-0.130450292	-0.131319581	-0.000869289	-0.5455
43	64.8546	36.1322	49.4397	5.0	4.999	-0.123581145	-0.121979595	0.001601551	1.0050
44	62.2809	38.4973	52.0575	4.0	3.996	-0.150270378	-0.150106516	0.000163862	0.1028
45	53.3953	31.1666	50.6703	3.0	2.996	-0.123174320	-0.123528253	-0.000353933	-0.2221
46	53.6452	29.0875	50.5317	4.0	3.995	-0.111979421	-0.111821142	0.000158279	0.0993
47	50.8026	30.9459	59.4532	5.0	4.996	-0.101075939	-0.102373926	-0.001297986	-0.8145
48	60.2077	42.0590	57.5861	4.0	3.996	-0.133781711	-0.134364694	-0.000582982	-0.3658
49	60.4531	30.7963	47.0622	5.0	4.997	-0.118144629	-0.115477399	0.002667231	1.6737
50	56.7165	34.0491	47.9818	4.0	3.999	-0.123650166	-0.122495251	0.001154915	0.7247
51	53.6116	36.6504	61.4115	4.0	3.997	-0.131226447	-0.133064927	-0.001838480	-1.1537
52	63.4800	41.4113	56.9322	5.0	4.996	-0.122375528	-0.122921336	-0.000545808	-0.3425
53	50.5425	37.2171	56.0313	5.0	4.998	-0.115137942	-0.116057601	-0.000919659	-0.5771
54	57.2209	26.5049	60.2580	5.0	4.997	-0.108734242	-0.110245226	-0.001510984	-0.9482
55	66.5341	37.3112	57.7771	5.0	4.999	-0.124610618	-0.124883942	-0.000273324	-0.1715
56	55.4107	33.3547	63.7020	5.0	4.996	-0.115471579	-0.118193195	-0.002721616	-1.7078
57	53.2375	36.5370	62.3959	5.0	4.996	-0.116346166	-0.118032243	-0.001686077	-1.0580
58	61.1765	26.1319	50.7763	5.0	4.997	-0.119368372	-0.116484349	0.002884023	1.8098
59	61.1022	26.3158	54.5681	4.0	3.997	-0.139770795	-0.137463103	0.002307692	1.4481
60	52.4830	35.0486	49.1818	5.0	5.015	-0.106793959	-0.106963539	-0.000169580	-0.1064
61	57.7065	31.0781	47.7900	5.0	4.999	-0.122547532	-0.120503452	0.002044079	1.2827
62	55.1825	26.5468	57.7598	4.0	3.997	-0.109661356	-0.110774275	-0.001112919	-0.6984
63	59.9654	43.1222	55.3626	5.0	4.998	-0.118962026	-0.119366729	-0.000404703	-0.2540
64	61.0839	37.0324	49.1977	4.0	3.997	-0.134786338	-0.133803046	0.000983292	0.6170
65	52.8006	26.4339	55.4793	5.0	4.998	-0.097886156	-0.098472895	-0.000586738	-0.3682
66	52.6248	33.0215	61.1876	5.0	4.999	-0.118010012	-0.120307075	-0.002297063	-1.4414
67	59.4987	37.8784	62.0222	4.0	3.998	-0.144427366	-0.146268822	-0.001841456	-1.1555
68	56.6912	25.2081	57.8319	5.0	4.999	-0.105331025	-0.105950268	-0.000619243	-0.3886
69	61.6562	27.3875	50.4990	4.0	3.996	-0.133081039	-0.128983741	0.004097298	2.5711
70	64.0487	30.0786	48.8775	4.0	3.996	-0.128805802	-0.124648348	0.004157454	2.6088
71	60.7563	32.6188	46.9037	5.0	4.997	-0.119534949	-0.117187940	0.002347008	1.4728
72	57.0929	29.9512	50.8124	3.0	2.995	-0.155320128	-0.152445976	0.002874152	1.8036
73	59.5951	37.1798	61.1331	3.0	2.995	-0.168324672	-0.170599766	-0.002275093	-1.4276
74	50.2449	36.1501	55.2482	5.0	4.998	-0.112609968	-0.113508012	-0.000898044	-0.5635
75	59.5491	27.0747	55.3351	3.0	2.995	-0.150896152	-0.149501214	0.001394938	0.8753
76	63.8945	32.1042	59.6704	3.0	3.018	-0.161987201	-0.163546009	-0.001558807	-0.9782
77	61.1007	29.0794	48.7631	4.0	3.996	-0.131602116	-0.127598271	0.004003844	2.5125
78	51.6571	31.7457	50.6047	4.0	3.998	-0.106904258	-0.107344970	-0.000440712	-0.2766
79	54.8902	36.9299	63.1339	5.0	4.997	-0.119470619	-0.121306936	-0.001836317	-1.1523
80	55.0190	27.4725	55.8398	3.0	2.995	-0.121120631	-0.122168143	-0.001047512	-0.6573
81	54.7459	39.1928	62.1961	5.0	4.996	-0.118395828	-0.119590854	-0.001195026	-0.7499
82	52.9664	28.1797	57.7750	4.0	4.024	-0.106705055	-0.108008699	-0.001303644	-0.8180
83	64.4093	32.3080	62.1459	5.0	4.996	-0.121796756	-0.123115885	-0.001319129	-0.8278
84	56.7183	29.9084	61.6099	4.0	4.020	-0.126363005	-0.130145423	-0.003782418	-2.3735
85	58.1995	36.5063	63.7578	5.0	4.998	-0.124037564	-0.126191821	-0.002154256	-1.3518
86	57.8576	42.1932	60.1380	5.0	4.997	-0.119883299	-0.120542153	-0.000658854	-0.4134
