idx	x_ang	y_ang	z_ang	shell
0	65.9947	32.6449	54.1699	3.0
1	55.0305	40.6050	59.1387	4.0
2	65.4743	27.6341	55.0224	4.0
3	61.9382	27.2365	56.1915	3.0
4	58.1714	37.5869	62.3143	4.0
5	55.1908	38.8276	57.8894	2.0
6	52.6694	30.6775	50.0818	4.0
7	54.6593	35.6398	59.7582	2.0
8	66.5243	34.4698	54.9454	4.0
9	61.3469	37.0820	59.6174	2.0
10	58.8872	30.2553	51.8921	2.0
11	58.4281	41.2913	57.0590	3.0
12	50.8382	30.5168	57.6582	4.0
13	63.8105	29.0956	54.3479	2.0
14	59.7622	42.2265	56.0201	4.0
15	53.8801	37.2550	60.1145	3.0
16	64.5392	38.5029	58.4832	4.0
17	65.8186	33.5350	58.9217	4.0
18	54.4812	29.2465	50.0697	4.0
19	61.2878	39.6103	60.6407	4.0
20	52.9191	37.4328	53.0332	4.0
21	56.9659	27.8522	51.4735	4.0
22	57.9463	35.4732	48.1597	4.0
23	59.3590	28.1327	55.2947	2.0
24	53.2174	31.6787	51.9457	2.0
25	60.9327	38.7423	52.9962	3.0
26	61.9200	33.1794	48.9821	3.0
27	61.2634	30.3309	58.9490	2.0
28	55.5932	27.5443	57.8020	3.0
29	62.8983	26.7026	57.5988	4.0
30	61.4303	35.2013	60.5646	2.0
31	50.2570	30.3108	55.8367	4.0
32	62.5677	39.3697	57.0573	3.0
33	52.3658	33.7391	50.0619	4.0
34	61.3774	26.2139	55.1605	4.0
35	57.5944	33.5243	48.0238	4.0
36	61.2258	35.9556	49.7827	3.0
37	53.3121	34.5091	56.6362	2.0
38	57.4926	35.4224	50.2018	2.0
39	63.6473	34.4898	58.2759	2.0
40	64.6283	36.0219	60.4033	4.0
41	51.6522	31.9021	50.5789	4.0
42	51.9318	28.1137	55.9104	4.0
43	64.5469	27.7893	51.6906	4.0
44	53.8594	36.7233	55.3593	2.0
45	66.7934	31.5325	57.8818	4.0
46	56.0019	34.2998	48.0970	4.0
47	54.8730	36.0013	62.1612	4.0
48	51.6927	32.0528	52.2033	3.0
49	56.6719	29.8895	61.5821	4.0
50	59.9759	26.5721	53.5345	4.0
51	62.7159	31.4776	50.0995	2.0
52	56.3578	41.2273	58.8087	4.0
53	51.5445	30.1802	51.4958	4.0
54	54.2899	33.2323	48.9680	4.0
55	54.8579	27.5440	56.1118	3.0
56	60.9786	32.5342	60.4315	2.0
57	61.7564	41.4015	55.5032	4.0
58	60.6870	39.7921	56.9644	2.0
59	57.2731	42.0979	56.1456	4.0
60	61.6632	37.5641	54.4039	2.0
61	63.4169	29.3806	48.9404	4.0
62	53.6123	33.9020	61.0359	4.0
63	56.5803	27.0236	55.8017	3.0
64	54.2623	34.1111	58.6471	2.0
65	63.6083	30.7281	58.4369	2.0
66	62.1043	39.7528	53.1507	4.0
67	57.2117	30.1238	49.5451	4.0
68	62.4858	26.6675	53.2376	4.0
69	59.2532	35.3960	61.9521	3.0
70	56.5260	30.5673	51.4882	2.0
71	54.3345	28.6985	60.1348	4.0
72	62.1217	30.4519	48.1198	4.0
73	59.7873	37.0315	51.8835	2.0
