row	idx	x	y	z	shell	standoff
0	0	55.4466	36.0585	48.6096	4.0	3.996
1	1	56.1877	31.2600	62.3452	4.0	3.997
2	2	59.5221	30.4109	62.1332	4.0	3.997
3	3	54.9787	37.7480	51.8856	3.0	2.995
4	4	59.0712	42.4236	59.8961	5.0	4.999
5	5	55.2057	28.7241	60.6566	4.0	3.996
6	6	66.2462	28.4643	55.3525	4.0	3.996
7	7	53.0737	37.9074	55.6023	3.0	2.997
8	8	56.1572	29.5324	62.4744	5.0	5.004
9	9	56.2675	39.6490	59.3794	3.0	2.995
10	10	54.4535	40.6860	58.1667	4.0	3.996
11	11	55.2979	37.2690	50.8369	3.0	2.995
12	12	56.8612	36.4986	49.6269	3.0	2.999
13	13	67.2863	31.2900	55.6534	4.0	3.998
14	14	63.0676	34.1318	62.0740	4.0	3.997
15	15	53.2929	33.4420	48.3252	5.0	4.997
16	16	49.0190	31.8876	53.5570	5.0	4.998
17	17	54.0447	25.8855	57.6026	5.0	4.998
18	18	52.6794	35.3009	61.9965	5.0	4.997
19	19	61.5149	41.0132	58.9404	4.0	3.997
20	20	49.7672	31.5999	58.3090	5.0	4.997
21	21	53.3463	37.6894	60.8623	4.0	3.997
22	22	57.4406	34.4684	64.2883	5.0	4.997
23	23	66.5705	27.6656	57.3511	5.0	4.996
24	24	65.0439	26.8329	58.3999	5.0	4.999
25	25	61.9464	37.5026	48.5937	5.0	4.996
26	26	66.2461	33.3254	50.7456	4.0	3.995
27	27	68.0171	33.2184	56.7531	5.0	4.996
28	28	52.5313	29.8095	60.6644	5.0	4.998
29	29	58.3585	27.1280	59.5675	4.0	3.997
30	30	53.1672	34.5916	48.4571	5.0	4.998
31	31	54.1497	31.6835	61.0796	4.0	4.014
32	32	50.4213	28.0974	54.6294	5.0	4.998
33	33	67.3359	28.9435	53.5294	5.0	4.998
34	34	65.6260	30.5160	60.7237	5.0	4.996
35	35	51.6862	29.6920	54.9011	3.0	2.995
36	36	53.9555	38.5125	52.7934	4.0	3.997
37	37	61.8597	37.3782	49.8726	4.0	3.997
38	38	59.3998	40.7484	54.3973	3.0	2.996
39	39	58.8998	32.8862	48.0784	4.0	3.997
40	40	51.5836	37.5190	57.1343	4.0	3.996
41	41	64.3608	26.8727	54.8567	4.0	3.997
42	42	52.6581	39.2931	58.0434	4.0	3.995
43	43	64.8546	36.1322	49.4397	5.0	4.999
44	44	62.2809	38.4973	52.0575	4.0	3.996
45	45	53.3953	31.1666	50.6703	3.0	2.996
46	46	53.6452	29.0875	50.5317	4.0	3.995
47	47	50.8026	30.9459	59.4532	5.0	4.996
48	48	60.2077	42.0590	57.5861	4.0	3.996
49	49	60.4531	30.7963	47.0622	5.0	4.997
50	50	56.7165	34.0491	47.9818	4.0	3.999
51	51	53.6116	36.6504	61.4115	4.0	3.997
52	52	63.4800	41.4113	56.9322	5.0	4.996
53	53	50.5425	37.2171	56.0313	5.0	4.998
54	54	57.2209	26.5049	60.2580	5.0	4.997
55	55	66.5341	37.3112	57.7771	5.0	4.999
56	56	55.4107	33.3547	63.7020	5.0	4.996
57	57	53.2375	36.5370	62.3959	5.0	4.996
58	58	61.1765	26.1319	50.7763	5.0	4.997
59	59	61.1022	26.3158	54.5681	4.0	3.997
60	60	52.4830	35.0486	49.1818	5.0	5.015
61	61	57.7065	31.0781	47.7900	5.0	4.999
62	62	55.1825	26.5468	57.7598	4.0	3.997
