idx	x	y	z	shell	standoff	nx	ny	nz
0	55.2325	35.5273	49.6700	3.0	3.000	-0.4933	0.2641	-0.8288
1	65.0026	29.8273	58.1110	3.0	2.999	0.7387	-0.4066	0.5376
2	55.8325	37.0273	61.2552	3.0	3.000	-0.1887	0.2297	0.9548
3	54.9325	27.4969	56.3110	3.0	3.000	-0.4515	-0.8901	0.0627
4	62.1325	39.6133	55.1110	3.0	2.999	0.6809	0.6784	-0.2757
5	63.3325	31.6273	49.2311	3.0	3.000	0.4277	-0.1373	-0.8934
6	51.6325	34.4791	56.0110	3.0	2.998	-0.7947	0.5505	0.2558
7	58.5325	30.7273	61.2694	3.0	2.999	0.0850	-0.6368	0.7663
8	55.8325	40.0273	55.4654	3.0	2.999	-0.4054	0.8610	-0.3071
9	63.0325	35.8273	60.5967	3.0	2.999	0.6493	0.3394	0.6806
10	61.2325	27.4049	53.9110	3.0	3.000	0.0554	-0.9929	-0.1053
11	54.0325	30.0761	50.9110	3.0	2.999	-0.3302	-0.5801	-0.7446
12	65.7602	33.7273	53.3110	3.0	3.000	0.9190	0.3937	0.0219
13	61.2325	36.1273	49.8939	3.0	2.999	0.3364	0.5028	-0.7963
14	60.0325	40.0273	59.5169	3.0	2.999	0.2333	0.7369	0.6345
15	54.0325	32.2273	59.6373	3.0	3.000	-0.7233	0.1880	0.6644
16	58.5325	30.4894	50.3110	3.0	2.999	-0.1421	-0.6763	-0.7228
17	65.2517	29.5273	53.3110	3.0	2.999	0.8058	-0.5921	0.0110
18	59.7325	27.1880	57.8110	3.0	3.000	0.1263	-0.9203	0.3703
19	53.1325	38.1872	58.1110	3.0	2.999	-0.8431	0.4941	0.2123
20	51.5882	29.8273	54.8110	3.0	3.000	-0.8444	-0.5351	-0.0234
21	57.9325	38.6506	52.4110	3.0	3.000	0.0442	0.7400	-0.6711
22	53.6449	36.7273	53.6110	3.0	2.999	-0.7910	0.5479	-0.2722
23	59.1325	34.9273	62.1469	3.0	3.000	0.2136	0.3022	0.9290
24	52.2325	33.7273	51.6178	3.0	2.999	-0.7523	0.2347	-0.6155
25	62.4325	31.9273	60.8554	3.0	3.000	0.4632	-0.3161	0.8279
26	57.3325	28.0899	53.0110	3.0	2.999	-0.0797	-0.8284	-0.5544
27	65.0108	34.0273	57.8110	3.0	2.999	0.7552	0.5054	0.4175
28	56.1325	28.9273	59.8293	3.0	2.999	-0.2202	-0.6548	0.7230
29	59.4325	41.2273	55.8055	3.0	2.998	0.1568	0.9758	-0.1522
30	58.5325	34.0273	49.0791	3.0	3.000	-0.2431	-0.0066	-0.9700
31	55.8325	39.7273	59.0978	3.0	2.998	-0.1922	0.8906	0.4122
32	63.9325	35.0754	50.9110	3.0	2.998	0.5140	0.6706	-0.5349
33	63.0325	27.4914	56.6110	3.0	3.000	0.3085	-0.9296	0.2018
34	63.0325	38.5098	58.4110	3.0	3.000	0.5167	0.8057	0.2896
35	62.1325	28.8174	50.3110	3.0	2.999	0.1001	-0.7522	-0.6513
36	52.8325	29.8273	57.7807	3.0	2.999	-0.5502	-0.5875	0.5934
37	53.4325	35.2154	59.9110	3.0	3.000	-0.7849	-0.1063	0.6105
38	66.2685	31.3273	55.1110	3.0	3.000	0.9968	-0.0498	-0.0627
39	55.5325	32.5103	49.7110	3.0	3.000	-0.3641	-0.3775	-0.8514
40	64.6403	36.4273	55.7110	3.0	3.000	0.9510	0.2173	-0.2199
41	56.7090	32.8273	62.0110	3.0	2.999	-0.3745	-0.1582	0.9136
42	61.8325	29.1027	59.3110	3.0	2.998	0.0585	-0.5952	0.8014
43	63.0325	36.4273	52.1934	3.0	2.998	0.5833	0.7530	-0.3045
44	54.0325	28.3977	53.3110	3.0	3.000	-0.4003	-0.8722	-0.2811
45	65.4987	32.5273	51.2110	3.0	3.000	0.8949	0.0608	-0.4422
46	58.2325	37.9022	61.1110	3.0	2.999	-0.0020	0.4120	0.9112
47	60.0325	39.7273	53.2794	3.0	3.000	0.2236	0.6199	-0.7522
48	58.5325	36.7273	49.9392	3.0	2.999	0.2548	0.4754	-0.8421
49	61.5325	33.6635	49.1110	3.0	2.999	-0.0347	0.3233	-0.9456
50	57.9325	27.1072	56.0110	3.0	3.000	0.2001	-0.9764	-0.0811
51	51.0762	32.2273	53.6110	3.0	3.000	-0.9544	-0.0338	-0.2965
52	55.0811	37.6273	51.5110	3.0	2.998	-0.5578	0.7168	-0.4184
53	51.0578	31.6273	56.3110	3.0	3.000	-0.9317	-0.1709	0.3206
54	59.7325	28.3273	51.6624	3.0	2.998	-0.4356	-0.8174	-0.3770
55	61.2325	40.6067	57.2110	3.0	3.000	0.4823	0.8683	0.1158
56	61.2325	30.7273	49.0595	3.0	3.000	-0.0354	-0.2725	-0.9615
57	63.6325	27.7086	54.5110	3.0	3.000	0.4379	-0.8604	-0.2607
58	52.3253	35.5273	53.6110	3.0	2.999	-0.7491	0.6494	-0.1310
59	52.5325	33.1273	58.3491	3.0	2.999	-0.5760	0.2630	0.7740
60	64.7884	30.1273	50.9110	3.0	2.999	0.7019	-0.4122	-0.5808
61	61.2325	34.0273	61.7606	3.0	3.000	0.2065	-0.0443	0.9774
62	65.2679	28.9273	56.3110	3.0	2.999	0.7832	-0.5861	0.2075
63	51.9325	30.5397	52.7110	3.0	2.998	-0.8027	-0.4422	-0.4002
64	61.5325	37.9273	60.2113	3.0	3.000	0.1597	0.5993	0.7844
65	53.7325	39.0552	56.3110	3.0	2.999	-0.6811	0.7215	-0.1245
66	52.4695	36.4273	56.0110	3.0	3.000	-0.9626	0.0942	-0.2540
67	57.6325	41.1352	57.2110	3.0	3.000	-0.2959	0.9491	0.1080
68	58.5325	28.3273	59.4207	3.0	2.999	-0.1578	-0.6859	0.7104
69	64.2325	32.2273	59.3839	3.0	2.999	0.5657	0.0674	0.8219
70	54.0325	38.2529	59.6110	3.0	2.999	-0.6654	0.5026	0.5520
71	64.2325	36.5009	59.0110	3.0	2.998	0.8084	0.3097	0.5006
72	56.1325	30.7273	60.7030	3.0	3.000	-0.2255	-0.2017	0.9531
73	55.5325	34.6273	61.3199	3.0	2.999	-0.5434	0.2234	0.8092
74	53.4325	35.8273	51.9704	3.0	2.998	-0.8659	0.3742	-0.3321
75	55.3771	38.8273	53.9110	3.0	2.998	-0.3280	0.6965	-0.6383
76	60.6325	27.2499	55.4110	3.0	3.000	0.2702	-0.9411	-0.2033
77	57.0325	29.8273	50.8744	3.0	3.000	0.2072	-0.5394	-0.8162
78	60.6325	36.4265	61.4110	3.0	3.000	0.0779	0.4018	0.9124
79	53.4325	32.2273	50.4077	3.0	2.999	-0.4635	-0.0376	-0.8853
80	60.0325	31.9273	61.6569	3.0	3.000	0.3544	-0.4320	0.8294
81	61.8325	37.6696	52.4110	3.0	3.000	0.5367	0.8237	-0.1833
82	63.9325	33.7273	59.9322	3.0	3.000	0.7899	0.0343	0.6122
83	52.8325	28.7446	56.0110	3.0	2.999	-0.5536	-0.7960	0.2447
84	57.6325	40.3273	53.9878	3.0	2.999	-0.2992	0.8154	-0.4957
85	57.0325	27.4431	58.1110	3.0	3.000	-0.0136	-0.8706	0.4918
86	52.4029	35.5273	57.8110	3.0	3.000	-0.9841	-0.1041	0.1439
87	65.8704	31.6273	57.5110	3.0	3.000	0.8937	0.0023	0.4486
88	54.3325	28.3273	57.8385	3.0	2.999	-0.6504	-0.6386	0.4113
89	57.3325	35.5273	61.8933	3.0	2.999	-0.2525	0.3745	0.8922
90	57.6325	39.7273	59.8295	3.0	2.999	-0.2258	0.6754	0.7020
91	64.8325	35.2759	53.0110	3.0	2.999	0.7531	0.6540	-0.0711
92	54.1135	34.0273	50.3110	3.0	2.999	-0.6871	0.2482	-0.6829
93	65.6598	34.0273	56.0110	3.0	3.000	0.8389	0.5317	0.1165
94	56.1325	27.3050	54.8110	3.0	3.000	-0.2250	-0.9039	-0.3639
95	59.1325	37.6273	50.9922	3.0	2.999	0.1766	0.7720	-0.6106
96	66.0521	32.2273	53.6110	3.0	3.000	0.9959	-0.0065	0.0902
97	56.7325	35.2273	49.0973	3.0	3.000	-0.0754	0.2719	-0.9594
98	63.3325	30.7273	59.7352	3.0	3.000	0.3816	-0.1987	0.9027
99	63.6325	38.2976	56.9110	3.0	2.999	0.7001	0.7107	-0.0694
100	54.9325	28.6273	52.1462	3.0	2.999	-0.2084	-0.8425	-0.4967
101	63.9325	28.4352	57.8110	3.0	2.999	0.5105	-0.7217	0.4675
102	58.8325	27.5676	53.9110	3.0	3.000	0.0257	-0.9291	-0.3689
103	63.9325	28.3890	52.4110	3.0	2.999	0.5054	-0.8268	-0.2469
104	56.3644	37.6273	50.6110	3.0	2.998	-0.2450	0.7503	-0.6140
105	62.7325	36.1185	51.2110	3.0	3.000	0.4742	0.6121	-0.6328
106	60.0325	41.0691	57.5110	3.0	3.000	0.2353	0.9414	0.2417
107	56.7325	38.2899	60.8110	3.0	2.999	0.0093	0.5427	0.8398
108	60.9325	30.4273	60.3253	3.0	3.014	0.2129	-0.6323	0.7449
109	58.5325	32.5273	62.2340	3.0	3.000	0.0165	-0.2275	0.9736
110	57.6325	31.9273	49.6266	3.0	3.000	-0.1087	-0.4188	-0.9015
111	64.5325	35.8273	54.7350	3.0	2.998	0.9201	0.2511	-0.3005
112	61.3354	40.3273	55.1110	3.0	2.998	0.5421	0.7940	-0.2752
113	61.5325	39.4273	59.0884	3.0	2.999	0.6101	0.6076	0.5085
114	60.0325	31.9273	49.0957	3.0	3.000	-0.3006	-0.0065	-0.9537
115	60.3325	29.2273	50.0860	3.0	2.999	-0.3078	-0.6171	-0.7242
116	63.4958	37.6273	54.5110	3.0	2.999	0.6762	0.6709	-0.3044
117	60.0325	35.1347	49.1110	3.0	2.998	0.0435	0.2848	-0.9576
118	54.0325	36.7273	60.4407	3.0	2.999	-0.5763	0.2231	0.7862
119	54.9325	39.8672	57.8110	3.0	2.999	-0.4500	0.8687	0.2071
120	61.5325	28.1462	58.4110	3.0	3.000	0.4811	-0.7143	0.5083
121	53.1325	31.6273	58.8082	3.0	2.999	-0.5337	-0.0957	0.8402
122	63.8675	33.4273	49.7110	3.0	2.999	0.4926	0.2553	-0.8320
123	55.5325	30.7273	50.2012	3.0	3.000	-0.0565	-0.3689	-0.9278
124	54.9119	29.8273	59.9110	3.0	2.999	-0.5221	-0.3891	0.7590
125	62.1325	27.7255	52.4110	3.0	3.000	0.1633	-0.9566	-0.2411
126	52.6361	29.2273	53.3110	3.0	2.998	-0.5585	-0.7422	-0.3704
