idx	x	y	z	shell	standoff	nx	ny	nz
0	55.4466	36.0585	48.6096	4.0	3.996	-0.3524	0.3367	-0.8732
1	56.1877	31.2600	62.3452	4.0	3.997	-0.3624	-0.4529	0.8146
2	59.5221	30.4109	62.1332	4.0	3.997	0.2271	-0.6095	0.7596
3	54.9787	37.7480	51.8856	3.0	2.995	-0.5432	0.7679	-0.3395
4	59.0712	42.4236	59.8961	5.0	4.999	0.0265	0.8655	0.5002
5	55.2057	28.7241	60.6566	4.0	3.996	-0.3510	-0.5346	0.7688
6	66.2462	28.4643	55.3525	4.0	3.996	0.8069	-0.5884	-0.0521
7	53.0737	37.9074	55.6023	3.0	2.997	-0.8444	0.4281	-0.3222
8	56.1572	29.5324	62.4744	5.0	5.004	-0.1674	-0.6006	0.7818
9	56.2675	39.6490	59.3794	3.0	2.995	-0.1215	0.8313	0.5425
10	54.4535	40.6860	58.1667	4.0	3.996	-0.4241	0.8775	0.2240
11	55.2979	37.2690	50.8369	3.0	2.995	-0.4723	0.6204	-0.6261
12	56.8612	36.4986	49.6269	3.0	2.999	-0.0751	0.5056	-0.8595
13	67.2863	31.2900	55.6534	4.0	3.998	0.9955	-0.0952	0.0032
14	63.0676	34.1318	62.0740	4.0	3.997	0.5300	-0.0357	0.8473
15	53.2929	33.4420	48.3252	5.0	4.997	-0.3608	0.1601	-0.9188
16	49.0190	31.8876	53.5570	5.0	4.998	-0.9652	-0.0721	-0.2514
17	54.0447	25.8855	57.6026	5.0	4.998	-0.4456	-0.8635	0.2363
18	52.6794	35.3009	61.9965	5.0	4.997	-0.6480	-0.0736	0.7581
19	61.5149	41.0132	58.9404	4.0	3.997	0.4604	0.7786	0.4264
20	49.7672	31.5999	58.3090	5.0	4.997	-0.8548	-0.1151	0.5060
21	53.3463	37.6894	60.8623	4.0	3.997	-0.6291	0.3433	0.6975
22	57.4406	34.4684	64.2883	5.0	4.997	-0.1263	0.1194	0.9848
23	66.5705	27.6656	57.3511	5.0	4.996	0.7211	-0.6345	0.2784
