min_shell	K	status	ddE_kcal	implied_barrier	gap	net_charge	shells_used
2	2	OK	-11.3542	4.4170	0.0000	+2	22
2	3	OK	-16.4269	-0.6557	0.0000	+1	222
2	4	OK	-21.4658	-5.6946	0.0000	+0	2222
2	5	OK	-25.1518	-9.3806	0.0000	+1	22222
2	6	OK	-28.8240	-13.0528	0.0000	+2	222222
2	7	OK	-32.3870	-16.6158	0.0000	+1	2222222
2	8	OK	-35.8961	-20.1249	0.0000	+0	22222222
3	2	OK	-7.6845	8.0867	0.0000	+0	33
3	3	OK	-11.1019	4.6693	0.0000	+1	333
3	4	OK	-14.1579	1.6133	0.0000	+0	3333
3	5	OK	-16.9616	-1.1904	0.0000	+1	33333
3	6	OK	-19.7578	-3.9866	0.0000	+0	333333
3	7	OK	-22.4843	-6.7131	0.0000	-1	3333333
3	8	OK	-25.0163	-9.2451	0.0000	-2	33333333
4	2	OK	-5.3345	10.4367	0.0000	+2	44
4	3	OK	-7.9173	7.8539	0.0000	+3	444
4	4	OK	-10.4392	5.3319	0.0000	+2	4444
4	5	OK	-12.9612	2.8100	0.0000	+1	44444
4	6	OK	-15.3407	0.4305	0.0000	+2	444444
4	7	OK	-17.7146	-1.9434	0.0000	+1	4444444
4	8	OK	-19.9981	-4.2269	0.0000	+0	44444444
